State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Madhya Pradesh,MORENA DTO - MP6,L3G,DILLI ELECTRIC AUTO PVT LTD,1,0,1,1,3,1,1,2,2,3,1,0
Madhya Pradesh,MORENA DTO - MP6,L3G,ELITE AUTO ENGINEERS PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Madhya Pradesh,MORENA DTO - MP6,L3G,ENERGY ELECTRIC VEHICLES,0,0,0,1,0,0,0,0,0,0,0,1
Madhya Pradesh,MORENA DTO - MP6,L3G,GREEN IMPEX,0,0,0,0,0,0,0,0,0,1,0,0
Madhya Pradesh,MORENA DTO - MP6,L3G,JMT VEHICLES PVT LTD,0,0,0,0,0,1,0,0,0,0,0,0
Madhya Pradesh,MORENA DTO - MP6,L3G,J. S. AUTO (P) LTD,0,0,0,0,0,0,0,0,0,0,0,1
Madhya Pradesh,MORENA DTO - MP6,L3G,LAKSHYA AUTO SALES CORPORATION,0,0,0,0,0,0,1,0,0,0,0,0
Madhya Pradesh,MORENA DTO - MP6,L3G,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,0,0,0,0,0,0,2,0,0,0,0,0
Madhya Pradesh,MORENA DTO - MP6,L3G,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,0,0,2
Madhya Pradesh,MORENA DTO - MP6,L3G,SAERA ELECTRIC AUTO PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1
Madhya Pradesh,MORENA DTO - MP6,L3G,SAHNIANAND E VEHICLES PVT LTD,1,0,1,0,0,0,1,0,0,0,0,1
Madhya Pradesh,MORENA DTO - MP6,L3G,SSB INDISTRIES,0,0,0,0,0,1,0,0,0,0,0,0
Madhya Pradesh,MORENA DTO - MP6,L3G,UNIQUE INTERNATIONAL,0,0,0,0,0,0,0,0,0,0,1,0
