State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Madhya Pradesh,MORENA DTO - MP6,L3P,3S INDUSTRIES PRIVATE LIMITED,14,3,6,4,4,4,0,35,0,0,0
Madhya Pradesh,MORENA DTO - MP6,L3P,BEST WAY AGENCIES PVT LTD,2,1,0,0,0,0,0,3,0,0,0
Madhya Pradesh,MORENA DTO - MP6,L3P,CEEON INDIA,6,0,1,3,1,0,1,12,0,0,0
Madhya Pradesh,MORENA DTO - MP6,L3P,CHAMPION POLY PLAST,0,0,0,0,2,0,0,2,0,0,0
Madhya Pradesh,MORENA DTO - MP6,L3P,DILLI ELECTRIC AUTO PVT LTD,6,2,1,2,0,1,0,12,0,0,0
Madhya Pradesh,MORENA DTO - MP6,L3P,ENERGY ELECTRIC VEHICLES,2,4,2,1,3,8,2,22,0,0,0
Madhya Pradesh,MORENA DTO - MP6,L3P,ENTICE IMPEX PVT LTD,2,0,0,0,0,0,0,2,0,0,0
Madhya Pradesh,MORENA DTO - MP6,L3P,GAYATRI ELECTRIC VEHICLES PVT LTD,14,9,9,15,3,1,0,51,0,0,0
Madhya Pradesh,MORENA DTO - MP6,L3P,GREEN IMPEX,5,0,4,1,2,0,0,12,0,0,0
Madhya Pradesh,MORENA DTO - MP6,L3P,GREEN TACK EMPALA ELECTRIC MOTOR COMPANY,1,0,2,3,1,1,0,8,0,0,0
Madhya Pradesh,MORENA DTO - MP6,L3P,GTP ELECTRIC VEHICLES PVT LTD,3,2,3,1,1,0,0,10,0,0,0
Madhya Pradesh,MORENA DTO - MP6,L3P,KRISHNA ENGINEERING WORKS,0,1,3,0,1,0,0,5,0,0,0
Madhya Pradesh,MORENA DTO - MP6,L3P,LAKSHYA AUTO SALES CORPORATION,1,1,1,0,1,1,0,5,0,0,0
Madhya Pradesh,MORENA DTO - MP6,L3P,LOHIA AUTO INDUSTRIES,1,0,0,0,0,0,0,1,0,0,0
Madhya Pradesh,MORENA DTO - MP6,L3P,MANITA CITY MOTORS LLP,0,0,0,2,1,0,0,3,0,0,0
Madhya Pradesh,MORENA DTO - MP6,L3P,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,16,8,11,17,8,11,0,71,0,0,0
Madhya Pradesh,MORENA DTO - MP6,L3P,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,8,5,3,0,0,0,0,16,0,0,0
Madhya Pradesh,MORENA DTO - MP6,L3P,SAERA ELECTRIC AUTO PVT LTD,6,5,2,1,5,8,0,27,0,0,0
Madhya Pradesh,MORENA DTO - MP6,L3P,SAHNIANAND E VEHICLES PVT LTD,1,1,4,1,6,1,0,14,0,0,0
Madhya Pradesh,MORENA DTO - MP6,L3P,SAKSHAM TRADING COMPANY,3,0,1,0,0,0,0,4,0,0,0
Madhya Pradesh,MORENA DTO - MP6,L3P,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,4,0,0,2,0,8,0,14,0,0,0
Madhya Pradesh,MORENA DTO - MP6,L3P,SHRI BARSANA E-VEHICLES PVT LTD,3,3,1,4,4,1,0,16,0,0,0
Madhya Pradesh,MORENA DTO - MP6,L3P,TWO FRIENDS AUTO ELECTRIC PVT LTD,3,0,0,0,0,0,0,3,0,0,0
Madhya Pradesh,MORENA DTO - MP6,L3P,UNIQUE ENTERPRISES,1,0,0,9,3,5,0,18,0,0,0
Madhya Pradesh,MORENA DTO - MP6,L3P,UNIQUE INTERNATIONAL,23,22,31,35,11,13,0,135,0,0,0
Madhya Pradesh,MORENA DTO - MP6,L3P,VIMAL UNIVERSAL TRADE PVT LTD,6,5,4,14,9,4,0,42,0,0,0
Madhya Pradesh,MORENA DTO - MP6,L3P,YC ELECTRIC VEHICLE,3,0,3,2,3,3,0,14,0,0,0
Madhya Pradesh,MORENA DTO - MP6,L3P,ZELIO AUTO PVT LTD,0,0,1,0,1,0,0,2,0,0,0
