State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Madhya Pradesh,NEEMUCH DTO - MP44,E2W,BAJAJ AUTO LTD,0,0,1,0,1,0,5,9,4,17,29,7
Madhya Pradesh,NEEMUCH DTO - MP44,E2W,BATTRE ELECTRIC MOBLITY PVT LTD,2,0,0,0,0,0,1,0,1,0,0,0
Madhya Pradesh,NEEMUCH DTO - MP44,E2W,CHINA HAOCHEN (IMPORTER:SLSR ELECTRO),0,0,0,0,0,0,0,0,0,0,1,1
Madhya Pradesh,NEEMUCH DTO - MP44,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,3,3,4,3,3,1,9,8,4,1,4,5
Madhya Pradesh,NEEMUCH DTO - MP44,E2W,HERO MOTOCORP LTD,0,0,0,0,0,0,0,0,0,1,1,0
Madhya Pradesh,NEEMUCH DTO - MP44,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,3,4,8,0,4,3,2,2,1,0,0,0
Madhya Pradesh,NEEMUCH DTO - MP44,E2W,ODYSSE ELECTRIC VEHICLES PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Madhya Pradesh,NEEMUCH DTO - MP44,E2W,OKAYA EV PVT LTD,0,4,0,1,0,0,1,0,2,1,5,0
Madhya Pradesh,NEEMUCH DTO - MP44,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,9,9,17,9,17,13,26,14,15,27,21,7
Madhya Pradesh,NEEMUCH DTO - MP44,E2W,REVOLT INTELLICORP PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1
Madhya Pradesh,NEEMUCH DTO - MP44,E2W,TVS MOTOR COMPANY LTD,15,6,20,2,9,8,20,17,35,65,89,47
Madhya Pradesh,NEEMUCH DTO - MP44,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,6,5,2,7,3,1,3,5,4,1,6,1
