State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Madhya Pradesh,NIWARI DTO - MP71,L3P,APM AUTO SALES,1,0,2,0,1,1,0,5,0,0,0
Madhya Pradesh,NIWARI DTO - MP71,L3P,A.V.AUTOMOTIVES PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Madhya Pradesh,NIWARI DTO - MP71,L3P,DILLI ELECTRIC AUTO PVT LTD,1,0,1,1,2,0,0,5,0,0,0
Madhya Pradesh,NIWARI DTO - MP71,L3P,ENERGY ELECTRIC VEHICLES,0,0,0,1,0,0,0,1,0,0,0
Madhya Pradesh,NIWARI DTO - MP71,L3P,MINI METRO EV L.L.P,4,4,10,0,10,7,1,36,0,0,0
Madhya Pradesh,NIWARI DTO - MP71,L3P,M.K. ENTERPRISES,0,0,0,0,1,0,0,1,0,0,0
Madhya Pradesh,NIWARI DTO - MP71,L3P,SHRI BARSANA E-VEHICLES PVT LTD,2,0,0,1,0,0,0,3,0,0,0
Madhya Pradesh,NIWARI DTO - MP71,L3P,SUPERTECH EV LIMITED,0,0,1,0,0,0,0,1,0,0,0
Madhya Pradesh,NIWARI DTO - MP71,L3P,TERRA MOTORS INDIA PVT LTD,1,1,2,2,1,2,0,9,0,0,0
Madhya Pradesh,NIWARI DTO - MP71,L3P,UNIQUE ENTERPRISES,1,0,0,0,0,0,0,1,0,0,0
