State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Madhya Pradesh,PANNA DTO - MP35,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,4,0,3,2,0,0,0,9,0,0,0
Madhya Pradesh,PANNA DTO - MP35,L3P,ATUL AUTO LTD,2,4,2,5,2,1,0,16,0,0,0
Madhya Pradesh,PANNA DTO - MP35,L3P,ATUT SANGAM,0,0,0,0,0,1,1,2,0,0,0
Madhya Pradesh,PANNA DTO - MP35,L3P,BRIGHT AUTOZONE PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Madhya Pradesh,PANNA DTO - MP35,L3P,DILLI ELECTRIC AUTO PVT LTD,7,5,3,0,3,6,0,24,0,0,0
Madhya Pradesh,PANNA DTO - MP35,L3P,GREENWHEELS AUTOMOBILE PVT LTD,0,1,1,0,0,0,0,2,0,0,0
Madhya Pradesh,PANNA DTO - MP35,L3P,INTERGLOBE ENERGY PVT LTD,5,0,1,1,1,5,0,13,0,0,0
Madhya Pradesh,PANNA DTO - MP35,L3P,LECTRIX E VEHICLES PVT LTD,6,2,1,3,2,4,0,18,0,0,0
Madhya Pradesh,PANNA DTO - MP35,L3P,MAHINDRA LAST MILE MOBILITY LTD,0,1,0,1,0,0,0,2,0,0,0
Madhya Pradesh,PANNA DTO - MP35,L3P,MINI METRO EV L.L.P,0,2,0,2,0,1,0,5,0,0,0
Madhya Pradesh,PANNA DTO - MP35,L3P,SAERA ELECTRIC AUTO PVT LTD,0,0,2,1,0,0,0,3,0,0,0
Madhya Pradesh,PANNA DTO - MP35,L3P,SAHNIANAND E VEHICLES PVT LTD,0,0,0,1,0,3,0,4,0,0,0
Madhya Pradesh,PANNA DTO - MP35,L3P,SHRI BARSANA E-VEHICLES PVT LTD,3,0,0,1,0,0,0,4,0,0,0
Madhya Pradesh,PANNA DTO - MP35,L3P,SKS TRADE INDIA PVT LTD,6,6,6,12,13,4,2,49,0,0,0
Madhya Pradesh,PANNA DTO - MP35,L3P,SRD RENEWABLES,1,0,2,0,0,2,0,5,0,0,0
Madhya Pradesh,PANNA DTO - MP35,L3P,YC ELECTRIC VEHICLE,2,7,5,11,5,12,0,42,0,0,0
