State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Madhya Pradesh,RAJGARH DTO - MP39,E2W,ATHER ENERGY LTD,0,0,0,0,0,0,0,0,0,1,0
Madhya Pradesh,RAJGARH DTO - MP39,E2W,BAJAJ AUTO LTD,13,7,14,8,18,8,12,3,3,13,12
Madhya Pradesh,RAJGARH DTO - MP39,E2W,BGAUSS AUTO PRIVATE LIMITED,0,0,0,0,0,0,0,1,5,10,4
Madhya Pradesh,RAJGARH DTO - MP39,E2W,HERO MOTOCORP LTD,0,0,0,0,0,0,2,0,0,0,1
Madhya Pradesh,RAJGARH DTO - MP39,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,0,0,0,2,1,0,0,0,0
Madhya Pradesh,RAJGARH DTO - MP39,E2W,LECTRIX E VEHICLES PVT LTD,0,0,0,0,0,1,0,0,0,0,0
Madhya Pradesh,RAJGARH DTO - MP39,E2W,LORDS AUTOMATIVE PVT LTD,0,0,0,0,0,1,0,3,0,0,0
Madhya Pradesh,RAJGARH DTO - MP39,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,20,5,34,18,30,36,39,37,37,44,13
Madhya Pradesh,RAJGARH DTO - MP39,E2W,PUR ENERGY PVT LTD,0,0,0,0,0,0,20,20,20,20,0
Madhya Pradesh,RAJGARH DTO - MP39,E2W,REVOLT INTELLICORP PVT LTD,0,0,0,0,0,0,0,0,0,21,6
Madhya Pradesh,RAJGARH DTO - MP39,E2W,TVS MOTOR COMPANY LTD,39,29,33,26,15,31,26,21,36,47,48
