State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Madhya Pradesh,RATLAM DTO - MP43,ICE,BAJAJ AUTO LTD,293,257,242,335,251,216,280,211,161,521,825,130
Madhya Pradesh,RATLAM DTO - MP43,ICE,BMW INDIA PVT LTD,0,0,0,1,0,0,0,0,1,0,0,0
Madhya Pradesh,RATLAM DTO - MP43,ICE,CLASSIC LEGENDS PVT LTD,1,2,1,1,0,0,2,0,1,0,0,0
Madhya Pradesh,RATLAM DTO - MP43,ICE,HERO MOTOCORP LTD,812,700,738,927,709,807,777,798,514,"1,967","2,933",444
Madhya Pradesh,RATLAM DTO - MP43,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,432,412,349,442,452,380,418,452,387,"1,011",985,292
Madhya Pradesh,RATLAM DTO - MP43,ICE,INDIA KAWASAKI MOTORS PVT LTD,0,0,0,0,0,1,0,0,0,0,0,0
Madhya Pradesh,RATLAM DTO - MP43,ICE,INDIA YAMAHA MOTOR PVT LTD,26,17,24,20,23,20,25,26,7,43,87,13
Madhya Pradesh,RATLAM DTO - MP43,ICE,PIAGGIO VEHICLES PVT LTD,4,5,4,2,1,1,4,2,1,4,6,2
Madhya Pradesh,RATLAM DTO - MP43,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),46,43,46,38,41,23,41,39,35,82,84,26
Madhya Pradesh,RATLAM DTO - MP43,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,95,85,110,123,119,97,118,97,101,174,186,49
Madhya Pradesh,RATLAM DTO - MP43,ICE,TVS MOTOR COMPANY LTD,209,165,158,222,173,151,191,141,137,380,480,108
