State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Madhya Pradesh,RATLAM DTO - MP43,L3G,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,0,0,2,0,0,0,0,0,0,0
Madhya Pradesh,RATLAM DTO - MP43,L3G,ATUL AUTO LTD,1,1,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,RATLAM DTO - MP43,L3G,DILLI ELECTRIC AUTO PVT LTD,0,0,0,0,0,0,1,0,0,0,0,0
Madhya Pradesh,RATLAM DTO - MP43,L3G,EVEX AUTO INDIA PVT LTD,0,0,0,0,0,0,0,0,0,1,2,0
Madhya Pradesh,RATLAM DTO - MP43,L3G,KUKU AUTOMOTIVES,0,0,0,0,1,0,0,0,0,0,0,0
Madhya Pradesh,RATLAM DTO - MP43,L3G,MAHINDRA LAST MILE MOBILITY LTD,0,0,0,1,1,0,0,0,0,0,0,0
Madhya Pradesh,RATLAM DTO - MP43,L3G,MINI METRO EV L.L.P,0,0,1,0,0,0,1,2,0,0,1,0
Madhya Pradesh,RATLAM DTO - MP43,L3G,PRIDE E-MOTORS,0,0,0,0,0,1,0,0,0,0,0,0
Madhya Pradesh,RATLAM DTO - MP43,L3G,SAERA ELECTRIC AUTO PVT LTD,1,1,2,0,0,3,2,2,0,4,0,0
Madhya Pradesh,RATLAM DTO - MP43,L3G,SKS TRADE INDIA PVT LTD,0,0,0,0,1,0,0,0,0,0,0,0
