State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Madhya Pradesh,REWA RTO - MP17,ICE,BAJAJ AUTO LTD,288,213,293,391,606,237,136,164,154,606,430
Madhya Pradesh,REWA RTO - MP17,ICE,CLASSIC LEGENDS PVT LTD,1,2,0,0,1,0,0,0,0,0,0
Madhya Pradesh,REWA RTO - MP17,ICE,HERO MOTOCORP LTD,"1,098",921,"1,190","1,371","1,710","1,022",658,744,663,"3,260","1,714"
Madhya Pradesh,REWA RTO - MP17,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,629,521,749,799,926,632,448,442,444,"1,768","1,483"
Madhya Pradesh,REWA RTO - MP17,ICE,INDIA KAWASAKI MOTORS PVT LTD,0,0,0,0,1,0,1,0,0,0,0
Madhya Pradesh,REWA RTO - MP17,ICE,INDIA YAMAHA MOTOR PVT LTD,31,47,44,31,44,45,21,31,5,63,101
Madhya Pradesh,REWA RTO - MP17,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),121,115,112,160,148,105,83,106,84,283,241
Madhya Pradesh,REWA RTO - MP17,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,22,15,21,20,19,28,34,27,10,83,24
Madhya Pradesh,REWA RTO - MP17,ICE,TRIUMPH MOTORCYCLES (INDIA) PVT LTD,0,0,0,0,0,0,0,0,0,0,1
Madhya Pradesh,REWA RTO - MP17,ICE,TVS MOTOR COMPANY LTD,417,351,445,574,739,496,421,420,388,"1,415","1,152"
