State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Madhya Pradesh,REWA RTO - MP17,L5P,ATUL AUTO LTD,1,5,3,4,1,2,1,1,1,0,2
Madhya Pradesh,REWA RTO - MP17,L5P,BAJAJ AUTO LTD,6,5,10,10,11,17,22,11,17,55,47
Madhya Pradesh,REWA RTO - MP17,L5P,BAXY LTD,3,0,8,8,4,15,10,6,5,17,19
Madhya Pradesh,REWA RTO - MP17,L5P,CONTINENTAL ENGINES PVT LTD,0,0,0,0,1,0,0,0,0,0,1
Madhya Pradesh,REWA RTO - MP17,L5P,EVCO AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,0,0,4,4
Madhya Pradesh,REWA RTO - MP17,L5P,J. S. AUTO (P) LTD,0,0,0,0,0,0,4,0,2,0,0
Madhya Pradesh,REWA RTO - MP17,L5P,LOHIA AUTO INDUSTRIES,2,9,4,4,3,0,0,0,0,0,0
Madhya Pradesh,REWA RTO - MP17,L5P,MAHINDRA LAST MILE MOBILITY LTD,4,2,4,5,5,4,8,5,7,31,16
Madhya Pradesh,REWA RTO - MP17,L5P,PIAGGIO VEHICLES PVT LTD,0,2,0,0,1,2,2,5,6,10,14
Madhya Pradesh,REWA RTO - MP17,L5P,SAERA ELECTRIC AUTO PVT LTD,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,REWA RTO - MP17,L5P,TI CLEAN MOBILITY PVT LTD,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,REWA RTO - MP17,L5P,TVS MOTOR COMPANY LTD,0,0,0,0,0,0,0,0,2,10,7
