State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Madhya Pradesh,SAGAR RTO - MP15,E2W,AMPERE VEHICLES PRIVATE LIMITED,0,2,0,0,1,0,0,0,0,0,0,0
Madhya Pradesh,SAGAR RTO - MP15,E2W,ATHER ENERGY LTD,0,0,8,1,5,2,34,21,22,20,59,12
Madhya Pradesh,SAGAR RTO - MP15,E2W,BAJAJ AUTO LTD,0,0,1,0,5,4,18,18,10,29,51,24
Madhya Pradesh,SAGAR RTO - MP15,E2W,GODAWARI ELECTRIC MOTORS PVT LTD,0,0,0,0,0,1,2,1,0,2,0,0
Madhya Pradesh,SAGAR RTO - MP15,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,0,0,1,5,1,1,1,1,0,0,3,3
Madhya Pradesh,SAGAR RTO - MP15,E2W,HERO MOTOCORP LTD,0,0,0,0,4,17,15,6,15,21,23,0
Madhya Pradesh,SAGAR RTO - MP15,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,0,1,1,0,0,0,0,0,0,0
Madhya Pradesh,SAGAR RTO - MP15,E2W,LECTRIX E VEHICLES PVT LTD,1,1,0,0,1,1,1,1,0,0,0,0
Madhya Pradesh,SAGAR RTO - MP15,E2W,OKAYA EV PVT LTD,0,0,2,0,0,1,0,0,0,0,0,0
Madhya Pradesh,SAGAR RTO - MP15,E2W,OKINAWA AUTOTECH PVT LTD,0,0,2,2,1,0,1,0,0,0,0,0
Madhya Pradesh,SAGAR RTO - MP15,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,46,31,46,39,45,46,41,25,32,90,39,18
Madhya Pradesh,SAGAR RTO - MP15,E2W,PUR ENERGY PVT LTD,1,6,2,6,2,1,1,4,0,19,4,1
Madhya Pradesh,SAGAR RTO - MP15,E2W,REVOLT INTELLICORP PVT LTD,1,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,SAGAR RTO - MP15,E2W,TVS MOTOR COMPANY LTD,25,18,25,11,22,27,16,37,33,61,79,37
