State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Madhya Pradesh,SAGAR RTO - MP15,L5P,ATUL AUTO LTD,1,2,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,SAGAR RTO - MP15,L5P,BAJAJ AUTO LTD,0,8,6,5,10,13,14,12,16,29,31,6
Madhya Pradesh,SAGAR RTO - MP15,L5P,BAXY LTD,5,10,5,5,1,2,0,0,0,0,0,0
Madhya Pradesh,SAGAR RTO - MP15,L5P,CONTINENTAL ENGINES PVT LTD,0,2,0,0,1,0,0,0,0,0,0,0
Madhya Pradesh,SAGAR RTO - MP15,L5P,MAHINDRA LAST MILE MOBILITY LTD,5,6,4,3,6,3,8,7,7,4,9,4
Madhya Pradesh,SAGAR RTO - MP15,L5P,MINI METRO EV L.L.P,0,5,6,0,0,4,1,4,0,1,0,0
Madhya Pradesh,SAGAR RTO - MP15,L5P,OMEGA SEIKI PVT LTD,0,0,0,0,0,0,3,7,1,0,0,5
Madhya Pradesh,SAGAR RTO - MP15,L5P,PIAGGIO VEHICLES PVT LTD,37,33,74,0,3,23,21,27,30,20,22,56
Madhya Pradesh,SAGAR RTO - MP15,L5P,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,0,0,0,1,1,0,1,1,0,2,2,0
Madhya Pradesh,SAGAR RTO - MP15,L5P,YC ELECTRIC VEHICLE,9,4,2,0,1,1,6,3,5,2,0,3
