State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Madhya Pradesh,SAGAR RTO - MP15,E2W,ATHER ENERGY LTD,38,31,21,50,39,33,42,48,68,116,60
Madhya Pradesh,SAGAR RTO - MP15,E2W,BAJAJ AUTO LTD,30,34,33,45,20,53,55,26,60,107,77
Madhya Pradesh,SAGAR RTO - MP15,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,3,0,0,0,0,0,1,0,0,1,0
Madhya Pradesh,SAGAR RTO - MP15,E2W,HERO MOTOCORP LTD,1,9,15,11,7,7,35,37,36,42,31
Madhya Pradesh,SAGAR RTO - MP15,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,2,5,2,6,3,0,1,1,1,0,3
Madhya Pradesh,SAGAR RTO - MP15,E2W,LECTRIX E VEHICLES PVT LTD,2,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,SAGAR RTO - MP15,E2W,OKAYA EV PVT LTD,1,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,SAGAR RTO - MP15,E2W,OKINAWA AUTOTECH PVT LTD,1,1,0,0,1,2,0,0,3,0,0
Madhya Pradesh,SAGAR RTO - MP15,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,53,16,61,40,31,65,31,42,41,54,18
Madhya Pradesh,SAGAR RTO - MP15,E2W,PUR ENERGY PVT LTD,0,0,3,8,0,0,30,0,10,0,0
Madhya Pradesh,SAGAR RTO - MP15,E2W,TVS MOTOR COMPANY LTD,42,38,50,24,47,59,39,40,37,61,58
