State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Madhya Pradesh,SATNA ARTO - MP19,L3P,ACCRETION POWER AUTOS,0,0,0,0,0,3,1,0,0,0,0,0
Madhya Pradesh,SATNA ARTO - MP19,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,2,1,1,2,2,1,2,1,1,0,0,4
Madhya Pradesh,SATNA ARTO - MP19,L3P,ATTOLENT AUTO GROUP PVT LTD,3,1,1,0,0,0,0,0,0,0,0,0
Madhya Pradesh,SATNA ARTO - MP19,L3P,ATUL AUTO LTD,9,14,3,9,6,9,15,11,12,18,16,12
Madhya Pradesh,SATNA ARTO - MP19,L3P,AVL ELECTRIC VEHICLES PVT LTD,0,1,2,0,2,0,0,1,1,0,0,0
Madhya Pradesh,SATNA ARTO - MP19,L3P,AVON CYCLES LTD,0,0,0,0,0,0,0,0,1,3,2,0
Madhya Pradesh,SATNA ARTO - MP19,L3P,B24 ROKET EV,0,1,4,0,1,1,0,0,0,0,0,0
Madhya Pradesh,SATNA ARTO - MP19,L3P,BAXY LTD,2,3,3,2,0,0,0,0,0,0,0,0
Madhya Pradesh,SATNA ARTO - MP19,L3P,BEST WAY AGENCIES PVT LTD,0,0,0,1,5,3,2,1,4,4,3,3
Madhya Pradesh,SATNA ARTO - MP19,L3P,BRIGHT AUTOZONE PVT LTD,8,12,7,2,7,3,8,2,3,9,15,7
Madhya Pradesh,SATNA ARTO - MP19,L3P,CEEON INDIA,0,1,0,2,2,0,0,0,0,0,0,0
Madhya Pradesh,SATNA ARTO - MP19,L3P,CONTINENTAL ENGINES PVT LTD,0,0,0,0,1,0,0,0,0,0,0,0
Madhya Pradesh,SATNA ARTO - MP19,L3P,DILLI ELECTRIC AUTO PVT LTD,4,4,1,4,2,4,5,1,7,5,0,2
Madhya Pradesh,SATNA ARTO - MP19,L3P,DUKE AUTO INDIA,0,0,0,0,1,0,0,0,0,0,0,0
Madhya Pradesh,SATNA ARTO - MP19,L3P,EFEV CHARGING SOLUTION PVT LTD,0,0,0,0,0,0,0,0,0,5,10,8
Madhya Pradesh,SATNA ARTO - MP19,L3P,ENERGY ELECTRIC VEHICLES,0,0,0,0,0,0,0,0,0,0,3,5
Madhya Pradesh,SATNA ARTO - MP19,L3P,EXIDE INDUSTRIES LTD,0,0,1,1,0,1,1,2,1,2,3,3
Madhya Pradesh,SATNA ARTO - MP19,L3P,EXTRA FAST SOLUTIONS,0,0,0,2,0,2,0,0,3,0,1,2
Madhya Pradesh,SATNA ARTO - MP19,L3P,GAYATRI ELECTRIC VEHICLES PVT LTD,9,5,5,6,6,12,8,3,6,1,1,0
Madhya Pradesh,SATNA ARTO - MP19,L3P,HOP MOTORS PVT LTD,3,1,4,0,0,0,0,0,0,0,0,0
Madhya Pradesh,SATNA ARTO - MP19,L3P,HOTAGE INDIA,9,0,5,2,2,8,3,6,2,3,1,1
Madhya Pradesh,SATNA ARTO - MP19,L3P,J. S. AUTO (P) LTD,1,0,0,0,0,0,1,0,3,0,0,0
Madhya Pradesh,SATNA ARTO - MP19,L3P,KHALSAE-VEHICLES PVT LTD,0,0,0,2,4,4,7,4,7,10,7,1
Madhya Pradesh,SATNA ARTO - MP19,L3P,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,1,0,1,0,0,0,0,1,4,5,2,3
Madhya Pradesh,SATNA ARTO - MP19,L3P,KRISHNA ENGINEERING WORKS,0,0,0,0,0,0,0,0,3,0,0,0
Madhya Pradesh,SATNA ARTO - MP19,L3P,LECTRIX E VEHICLES PVT LTD,2,0,9,3,2,1,7,6,4,0,2,1
Madhya Pradesh,SATNA ARTO - MP19,L3P,LOHIA AUTO INDUSTRIES,0,2,0,0,0,4,0,0,1,0,0,0
Madhya Pradesh,SATNA ARTO - MP19,L3P,MAHINDRA LAST MILE MOBILITY LTD,3,0,1,0,1,0,2,0,0,0,0,0
