State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Madhya Pradesh,SATNA ARTO - MP19,E2W,ATHER ENERGY LTD,0,2,5,6,6,2,3,13,2,22,9
Madhya Pradesh,SATNA ARTO - MP19,E2W,BAJAJ AUTO LTD,22,23,55,31,35,50,26,4,36,61,51
Madhya Pradesh,SATNA ARTO - MP19,E2W,BATTRE ELECTRIC MOBLITY PVT LTD,0,2,3,0,3,0,1,0,0,0,0
Madhya Pradesh,SATNA ARTO - MP19,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,1,1,4,0,0,4,0,0,0,0,0
Madhya Pradesh,SATNA ARTO - MP19,E2W,HERO MOTOCORP LTD,0,0,3,3,8,1,9,8,7,9,5
Madhya Pradesh,SATNA ARTO - MP19,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,5,0,5,1,2,2,0,0,2
Madhya Pradesh,SATNA ARTO - MP19,E2W,LECTRIX E VEHICLES PVT LTD,0,0,0,1,3,0,0,0,0,0,0
Madhya Pradesh,SATNA ARTO - MP19,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,43,14,50,31,19,35,25,39,34,35,8
Madhya Pradesh,SATNA ARTO - MP19,E2W,PUR ENERGY PVT LTD,0,0,0,0,1,1,20,12,20,40,40
Madhya Pradesh,SATNA ARTO - MP19,E2W,TVS MOTOR COMPANY LTD,42,35,63,42,51,47,52,37,85,46,56
Madhya Pradesh,SATNA ARTO - MP19,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,3,3,2,4,1,1,1,2,2,1,3
Madhya Pradesh,SATNA ARTO - MP19,E2W,YOUYAKU ELECTRIC (IMPORTER: HOUSTAN INNOVATION),1,0,0,0,0,0,0,0,0,0,0
