State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Madhya Pradesh,SATNA ARTO - MP19,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,6,0,6,3,6,3,5,3,4,5,3
Madhya Pradesh,SATNA ARTO - MP19,L3P,ATTOLENT AUTO GROUP PVT LTD,1,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,SATNA ARTO - MP19,L3P,ATUL AUTO LTD,18,2,8,4,5,4,7,7,8,6,9
Madhya Pradesh,SATNA ARTO - MP19,L3P,AVON CYCLES LTD,0,2,0,1,0,1,2,2,2,1,0
Madhya Pradesh,SATNA ARTO - MP19,L3P,B24 ROKET EV,7,6,7,0,1,0,0,2,0,0,0
Madhya Pradesh,SATNA ARTO - MP19,L3P,BEST WAY AGENCIES PVT LTD,1,1,1,0,1,0,0,0,0,0,5
Madhya Pradesh,SATNA ARTO - MP19,L3P,BRIGHT AUTOZONE PVT LTD,10,3,12,14,4,3,12,10,9,29,1
Madhya Pradesh,SATNA ARTO - MP19,L3P,CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,1,0,0,2,1,0,0,0,0,0,0
Madhya Pradesh,SATNA ARTO - MP19,L3P,DAKSH INDUSTRY PVT LTD,0,0,2,1,3,7,9,7,5,11,13
Madhya Pradesh,SATNA ARTO - MP19,L3P,DEVAM ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,1,0,0
Madhya Pradesh,SATNA ARTO - MP19,L3P,DILLI ELECTRIC AUTO PVT LTD,3,2,1,2,0,1,4,0,0,0,0
Madhya Pradesh,SATNA ARTO - MP19,L3P,DUKE AUTO INDIA,0,0,0,0,0,0,4,0,0,3,0
Madhya Pradesh,SATNA ARTO - MP19,L3P,EFEV CHARGING SOLUTION PVT LTD,6,5,8,3,8,6,5,6,4,20,2
Madhya Pradesh,SATNA ARTO - MP19,L3P,ENERGY ELECTRIC VEHICLES,0,3,2,0,4,6,4,3,6,10,2
Madhya Pradesh,SATNA ARTO - MP19,L3P,EXIDE INDUSTRIES LTD,0,2,2,3,2,1,4,2,4,1,1
Madhya Pradesh,SATNA ARTO - MP19,L3P,EXTRA FAST SOLUTIONS,1,0,0,0,0,1,0,0,0,0,1
Madhya Pradesh,SATNA ARTO - MP19,L3P,FUTURE EV TECHNOLOGY,0,0,0,0,0,0,0,0,0,2,1
Madhya Pradesh,SATNA ARTO - MP19,L3P,HARSH TRADING CO,0,0,0,0,0,0,0,0,7,2,3
Madhya Pradesh,SATNA ARTO - MP19,L3P,HINDUSTAN AUTO,0,0,0,0,0,0,0,0,0,9,4
Madhya Pradesh,SATNA ARTO - MP19,L3P,HOTAGE INDIA,4,1,1,1,2,4,2,1,1,0,8
Madhya Pradesh,SATNA ARTO - MP19,L3P,INDIAN MOTORS,0,0,0,0,1,0,0,0,0,0,0
Madhya Pradesh,SATNA ARTO - MP19,L3P,J. S. AUTO (P) LTD,8,4,10,2,4,5,9,7,5,0,6
Madhya Pradesh,SATNA ARTO - MP19,L3P,KHALSAE-VEHICLES PVT LTD,7,3,6,4,9,7,6,5,7,1,5
Madhya Pradesh,SATNA ARTO - MP19,L3P,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,5,0,5,0,4,3,4,2,3,6,1
Madhya Pradesh,SATNA ARTO - MP19,L3P,KRISHNA ENGINEERING WORKS,0,0,0,0,0,0,0,1,3,6,2
Madhya Pradesh,SATNA ARTO - MP19,L3P,LAKSHYA AUTO SALES CORPORATION,2,0,0,0,0,1,0,0,0,0,0
Madhya Pradesh,SATNA ARTO - MP19,L3P,LECTRIX E VEHICLES PVT LTD,2,2,1,2,4,3,2,0,2,0,0
Madhya Pradesh,SATNA ARTO - MP19,L3P,LOHIA AUTO INDUSTRIES,0,1,0,0,1,0,0,2,1,0,1
Madhya Pradesh,SATNA ARTO - MP19,L3P,MAHINDRA LAST MILE MOBILITY LTD,1,0,1,2,1,0,0,0,0,0,0
Madhya Pradesh,SATNA ARTO - MP19,L3P,MAHTAB BODY MAKER,5,1,2,4,2,1,1,0,0,0,0
Madhya Pradesh,SATNA ARTO - MP19,L3P,MINI METRO EV L.L.P,4,2,2,4,4,3,5,1,1,6,5
Madhya Pradesh,SATNA ARTO - MP19,L3P,M.K. ENTERPRISES,0,0,0,0,0,0,0,1,0,0,0
Madhya Pradesh,SATNA ARTO - MP19,L3P,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,0,0,0,1,0,0,0,4,1,0,0
Madhya Pradesh,SATNA ARTO - MP19,L3P,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,0,0,3,0,0,0,0,0,0,0,0
Madhya Pradesh,SATNA ARTO - MP19,L3P,RAYON ENGINEERS,0,0,1,1,0,0,0,0,0,0,0
Madhya Pradesh,SATNA ARTO - MP19,L3P,SAERA ELECTRIC AUTO PVT LTD,1,0,2,0,0,0,1,6,0,0,1
Madhya Pradesh,SATNA ARTO - MP19,L3P,SAKSHAM TRADING COMPANY,0,0,0,0,0,0,0,0,0,0,5
Madhya Pradesh,SATNA ARTO - MP19,L3P,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,0,0,0,0,0,0,3,2,0,1,0
Madhya Pradesh,SATNA ARTO - MP19,L3P,SETH INDUSTRIAL CORPORATION,0,0,0,0,2,5,5,3,2,0,1
Madhya Pradesh,SATNA ARTO - MP19,L3P,SHRI BARSANA E-VEHICLES PVT LTD,0,0,0,3,1,6,2,1,0,2,1
Madhya Pradesh,SATNA ARTO - MP19,L3P,SKS TRADE INDIA PVT LTD,7,6,9,4,8,3,4,4,4,13,4
Madhya Pradesh,SATNA ARTO - MP19,L3P,STAR IGLOBAL AUTOMOTIVE PVT LTD,4,0,0,0,1,0,0,0,0,0,0
Madhya Pradesh,SATNA ARTO - MP19,L3P,TERRA MOTORS INDIA PVT LTD,0,0,0,0,0,0,0,0,0,0,3
Madhya Pradesh,SATNA ARTO - MP19,L3P,TSM ENGINEERING PVT LTD,0,0,0,0,0,0,0,2,0,0,0
Madhya Pradesh,SATNA ARTO - MP19,L3P,UNIQUE ENTERPRISES,5,2,6,1,2,4,5,4,4,2,0
Madhya Pradesh,SATNA ARTO - MP19,L3P,U.P. TELELINKS LIMITED,2,2,0,0,0,0,1,0,0,0,0
Madhya Pradesh,SATNA ARTO - MP19,L3P,VICTORY ELECTRIC VEHICLES INTERNATIONAL LTD,0,0,0,0,0,1,2,1,0,1,2
Madhya Pradesh,SATNA ARTO - MP19,L3P,YC ELECTRIC VEHICLE,2,0,0,3,3,3,0,3,6,5,7
Madhya Pradesh,SATNA ARTO - MP19,L3P,ZENIAK INNOVATION INDIA LTD,0,0,0,1,1,1,1,2,0,1,0
Madhya Pradesh,SATNA ARTO - MP19,L3P,ZEOPLUS AXIS INDIA PVT. LTD.,3,1,1,0,2,2,3,2,1,0,0
