State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Madhya Pradesh,SEHORE DTO - MP37,E2W,ATHER ENERGY LTD,0,0,0,0,0,0,0,0,1,0,0,0
Madhya Pradesh,SEHORE DTO - MP37,E2W,BAJAJ AUTO LTD,0,0,0,2,5,13,23,24,44,79,138,61
Madhya Pradesh,SEHORE DTO - MP37,E2W,HERO MOTOCORP LTD,0,0,0,0,0,0,0,5,10,10,8,0
Madhya Pradesh,SEHORE DTO - MP37,E2W,JIANGSU XINRI (IMPORTER: ECO FUEL SYSTEMS LTD),0,0,0,0,0,0,1,0,0,0,0,0
Madhya Pradesh,SEHORE DTO - MP37,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,1,0,0,1,0,1,1,0,1,1,0
Madhya Pradesh,SEHORE DTO - MP37,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,32,31,38,39,39,47,50,31,35,103,32,14
Madhya Pradesh,SEHORE DTO - MP37,E2W,ROWWET MOBILITY PVT LTD,0,0,0,0,0,1,0,0,0,0,0,2
Madhya Pradesh,SEHORE DTO - MP37,E2W,TVS MOTOR COMPANY LTD,0,7,16,6,3,4,10,9,17,9,28,23
Madhya Pradesh,SEHORE DTO - MP37,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,7,2,0,2,1,0,0,2,0,0,0,0
Madhya Pradesh,SEHORE DTO - MP37,E2W,WUXI MAYA (IMPORTER: DYNAMO ELECTRIC P. LTD.),0,0,0,0,0,1,0,0,0,0,0,0
