State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Madhya Pradesh,SEHORE DTO - MP37,E2W,ATHER ENERGY LTD,0,0,0,0,0,0,0,0,1,1,0
Madhya Pradesh,SEHORE DTO - MP37,E2W,BAJAJ AUTO LTD,68,55,137,63,21,45,5,0,17,46,79
Madhya Pradesh,SEHORE DTO - MP37,E2W,HERO MOTOCORP LTD,0,3,6,5,4,9,15,10,18,22,14
Madhya Pradesh,SEHORE DTO - MP37,E2W,JIANGSU XINRI (IMPORTER: ECO FUEL SYSTEMS LTD),0,1,0,0,0,0,1,0,0,0,0
Madhya Pradesh,SEHORE DTO - MP37,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,2,0,0,0,0,0,0,0,0
Madhya Pradesh,SEHORE DTO - MP37,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,41,12,31,39,28,45,36,39,38,41,13
Madhya Pradesh,SEHORE DTO - MP37,E2W,PUR ENERGY PVT LTD,0,0,0,0,0,0,10,0,0,0,0
Madhya Pradesh,SEHORE DTO - MP37,E2W,REVOLT INTELLICORP PVT LTD,0,0,0,0,0,0,0,0,0,1,1
Madhya Pradesh,SEHORE DTO - MP37,E2W,TVS MOTOR COMPANY LTD,17,14,29,9,18,19,7,21,23,37,16
Madhya Pradesh,SEHORE DTO - MP37,E2W,ULTRAVIOLETTE AUTOMOTIVE PVT LTD,0,0,0,0,0,0,0,0,0,1,0
