State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Madhya Pradesh,SHIVPURI DTO - MP33,L3P,ALLFINE INDUSTRIES PVT LTD,1,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,SHIVPURI DTO - MP33,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,0,1,7,1,0,1,7,2,6,3,11,4
Madhya Pradesh,SHIVPURI DTO - MP33,L3P,BHAVE ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,1,0,0
Madhya Pradesh,SHIVPURI DTO - MP33,L3P,DILLI ELECTRIC AUTO PVT LTD,1,0,0,0,0,0,0,0,0,0,2,1
Madhya Pradesh,SHIVPURI DTO - MP33,L3P,E-ASHWA AUTOMOTIVE PVT LTD,0,0,0,0,0,0,0,0,0,1,2,0
Madhya Pradesh,SHIVPURI DTO - MP33,L3P,EXTREME MOTORS,0,0,0,0,0,0,2,0,0,0,0,0
Madhya Pradesh,SHIVPURI DTO - MP33,L3P,HOTAGE INDIA,0,0,0,0,0,0,0,8,4,6,6,9
Madhya Pradesh,SHIVPURI DTO - MP33,L3P,J. S. AUTO (P) LTD,0,0,0,0,0,5,7,13,9,3,1,0
Madhya Pradesh,SHIVPURI DTO - MP33,L3P,LAKSHYA AUTO SALES CORPORATION,0,0,1,0,0,1,0,0,0,0,0,0
Madhya Pradesh,SHIVPURI DTO - MP33,L3P,SAERA ELECTRIC AUTO PVT LTD,0,0,0,0,1,0,1,1,0,2,4,4
Madhya Pradesh,SHIVPURI DTO - MP33,L3P,SHRI BARSANA E-VEHICLES PVT LTD,2,0,8,0,4,5,2,6,0,3,2,4
Madhya Pradesh,SHIVPURI DTO - MP33,L3P,SRD RENEWABLES,0,4,0,0,0,0,1,0,0,0,0,0
Madhya Pradesh,SHIVPURI DTO - MP33,L3P,THUKRAL ELECTRIC BIKES PVT LTD,0,0,0,0,9,8,4,3,8,1,17,5
Madhya Pradesh,SHIVPURI DTO - MP33,L3P,TWO FRIENDS AUTO ELECTRIC PVT LTD,0,0,0,0,0,0,0,0,0,0,0,4
Madhya Pradesh,SHIVPURI DTO - MP33,L3P,VRINDA ENTERPRISES,0,0,0,0,0,0,0,1,0,0,0,0
Madhya Pradesh,SHIVPURI DTO - MP33,L3P,YC ELECTRIC VEHICLE,0,0,0,0,0,0,0,2,1,4,1,3
