State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Madhya Pradesh,SHIVPURI DTO - MP33,L5P,ATUL AUTO LTD,0,1,1,0,1,0,0,2,0,0,0
Madhya Pradesh,SHIVPURI DTO - MP33,L5P,BAJAJ AUTO LTD,0,0,1,1,2,2,1,0,1,5,3
Madhya Pradesh,SHIVPURI DTO - MP33,L5P,BAXY LTD,0,0,0,0,0,0,0,0,5,2,3
Madhya Pradesh,SHIVPURI DTO - MP33,L5P,DE EUSI MOTORS PVT LTD.,0,0,0,0,0,0,1,3,3,1,2
Madhya Pradesh,SHIVPURI DTO - MP33,L5P,JMT VEHICLES PVT LTD,0,0,0,0,0,0,0,0,1,0,0
Madhya Pradesh,SHIVPURI DTO - MP33,L5P,J. S. AUTO (P) LTD,0,1,0,1,0,1,0,1,2,0,0
Madhya Pradesh,SHIVPURI DTO - MP33,L5P,KIRAN AUTOMOBILE INDUSTRY,0,0,0,0,0,0,0,1,0,0,0
Madhya Pradesh,SHIVPURI DTO - MP33,L5P,MAA SHAKTI EXIM PVT LTD,0,0,0,0,0,0,0,0,0,2,0
Madhya Pradesh,SHIVPURI DTO - MP33,L5P,MAHINDRA LAST MILE MOBILITY LTD,0,0,0,0,0,0,1,2,2,3,0
Madhya Pradesh,SHIVPURI DTO - MP33,L5P,SAERA ELECTRIC AUTO PVT LTD,0,0,0,0,0,0,0,0,3,2,4
Madhya Pradesh,SHIVPURI DTO - MP33,L5P,TVS MOTOR COMPANY LTD,0,0,0,0,0,0,1,0,0,4,1
