State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Madhya Pradesh,SIDHI DTO - MP53,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,2,1,3,1,1,0,0,1,1,0,0
Madhya Pradesh,SIDHI DTO - MP53,L3P,AMBIKA INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,SIDHI DTO - MP53,L3P,A P I MOTORS PVT LTD,0,0,0,0,0,0,0,0,0,1,0
Madhya Pradesh,SIDHI DTO - MP53,L3P,BAXY LTD,0,3,1,3,0,2,2,2,0,1,7
Madhya Pradesh,SIDHI DTO - MP53,L3P,CHAMPION POLY PLAST,0,0,0,0,0,0,0,0,0,0,5
Madhya Pradesh,SIDHI DTO - MP53,L3P,DILLI ELECTRIC AUTO PVT LTD,0,6,3,3,0,1,1,1,6,7,2
Madhya Pradesh,SIDHI DTO - MP53,L3P,EFEV CHARGING SOLUTION PVT LTD,0,0,0,0,2,2,2,1,3,3,2
Madhya Pradesh,SIDHI DTO - MP53,L3P,ENERGY ELECTRIC VEHICLES,1,0,8,1,1,0,0,5,1,0,0
Madhya Pradesh,SIDHI DTO - MP53,L3P,HOTAGE INDIA,2,0,4,3,2,2,2,1,1,2,0
Madhya Pradesh,SIDHI DTO - MP53,L3P,J. S. AUTO (P) LTD,0,0,9,5,0,1,6,2,5,4,4
Madhya Pradesh,SIDHI DTO - MP53,L3P,KHALSAE-VEHICLES PVT LTD,0,0,0,0,1,0,0,0,0,0,0
Madhya Pradesh,SIDHI DTO - MP53,L3P,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,6,2,1,2,1,0,5,0,5,3,6
Madhya Pradesh,SIDHI DTO - MP53,L3P,MAHINDRA LAST MILE MOBILITY LTD,1,0,0,0,0,0,0,1,0,0,2
Madhya Pradesh,SIDHI DTO - MP53,L3P,MINI METRO EV L.L.P,2,0,6,4,3,2,2,3,1,3,3
Madhya Pradesh,SIDHI DTO - MP53,L3P,SAERA ELECTRIC AUTO PVT LTD,0,0,0,0,0,0,1,0,0,0,0
Madhya Pradesh,SIDHI DTO - MP53,L3P,SKS TRADE INDIA PVT LTD,3,6,6,1,1,6,7,8,8,4,7
Madhya Pradesh,SIDHI DTO - MP53,L3P,SUPER METRO INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,SIDHI DTO - MP53,L3P,THUKRAL ELECTRIC BIKES PVT LTD,0,0,0,0,0,0,0,0,1,1,0
Madhya Pradesh,SIDHI DTO - MP53,L3P,UNIQUE ENTERPRISES,2,2,5,1,2,0,0,0,0,0,0
Madhya Pradesh,SIDHI DTO - MP53,L3P,YC ELECTRIC VEHICLE,6,9,4,5,5,6,8,6,9,18,9
Madhya Pradesh,SIDHI DTO - MP53,L3P,ZEOPLUS AXIS INDIA PVT. LTD.,0,0,0,0,0,1,0,0,0,0,0
