State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Madhya Pradesh,SINGROLI DTO - MP66,E2W,BAJAJ AUTO LTD,0,0,0,0,0,7,4,6,16,6,30,7
Madhya Pradesh,SINGROLI DTO - MP66,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,0,0,1,0,1,0,2,1,1,1,0,0
Madhya Pradesh,SINGROLI DTO - MP66,E2W,HERO ELECTRIC VEHICLES PVT. LTD,0,0,1,0,2,0,0,0,0,0,0,0
Madhya Pradesh,SINGROLI DTO - MP66,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,2,0,4,0,0,1,1,0,1,2,0,2
Madhya Pradesh,SINGROLI DTO - MP66,E2W,LECTRIX E VEHICLES PVT LTD,0,0,10,0,0,0,4,0,0,0,0,0
Madhya Pradesh,SINGROLI DTO - MP66,E2W,OKAYA EV PVT LTD,4,0,3,0,3,2,1,3,2,3,1,4
Madhya Pradesh,SINGROLI DTO - MP66,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,6,9,15,13,14,13,4,3,0,2,1,1
Madhya Pradesh,SINGROLI DTO - MP66,E2W,REVOLT INTELLICORP PVT LTD,0,1,0,0,0,0,0,0,0,0,1,0
Madhya Pradesh,SINGROLI DTO - MP66,E2W,TVS MOTOR COMPANY LTD,1,0,0,0,0,0,0,1,0,0,0,14
Madhya Pradesh,SINGROLI DTO - MP66,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,6,1,0,0,0,0,2,0,0,0,0,0
