State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Madhya Pradesh,TIKAMGARH DTO - MP36,L3G,APM AUTO SALES,0,0,0,0,0,0,0,0,0,0,1,0
Madhya Pradesh,TIKAMGARH DTO - MP36,L3G,ATUL AUTO LTD,0,0,0,1,0,0,0,0,0,0,0,0
Madhya Pradesh,TIKAMGARH DTO - MP36,L3G,A.V.AUTOMOTIVES PVT LTD,0,0,0,0,0,0,0,0,0,1,0,0
Madhya Pradesh,TIKAMGARH DTO - MP36,L3G,CHAMPION POLY PLAST,0,0,0,0,1,0,0,0,0,1,0,0
Madhya Pradesh,TIKAMGARH DTO - MP36,L3G,DILLI ELECTRIC AUTO PVT LTD,0,0,0,0,2,0,0,0,0,1,0,0
Madhya Pradesh,TIKAMGARH DTO - MP36,L3G,ENERGY ELECTRIC VEHICLES,0,0,0,3,0,0,0,1,0,1,0,0
Madhya Pradesh,TIKAMGARH DTO - MP36,L3G,ENTICE IMPEX PVT LTD,0,0,0,0,0,0,1,0,0,0,0,0
Madhya Pradesh,TIKAMGARH DTO - MP36,L3G,J. S. AUTO (P) LTD,1,1,1,0,0,0,1,0,0,0,0,0
Madhya Pradesh,TIKAMGARH DTO - MP36,L3G,KHALSAE-VEHICLES PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Madhya Pradesh,TIKAMGARH DTO - MP36,L3G,MAC AUTO INDIA,0,0,0,0,0,0,0,1,0,0,0,0
Madhya Pradesh,TIKAMGARH DTO - MP36,L3G,MINI METRO EV L.L.P,0,1,0,0,0,0,1,0,0,0,0,0
Madhya Pradesh,TIKAMGARH DTO - MP36,L3G,SAERA ELECTRIC AUTO PVT LTD,0,2,1,0,0,4,2,2,1,0,1,0
Madhya Pradesh,TIKAMGARH DTO - MP36,L3G,SHRI BARSANA E-VEHICLES PVT LTD,0,0,0,0,0,0,0,3,1,1,0,0
