State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Madhya Pradesh,TIKAMGARH DTO - MP36,L3P,APM AUTO SALES,9,3,9,4,9,4,10,4,6,6,7
Madhya Pradesh,TIKAMGARH DTO - MP36,L3P,ATUL AUTO LTD,1,0,1,0,1,1,1,3,2,1,4
Madhya Pradesh,TIKAMGARH DTO - MP36,L3P,ATUT SANGAM,0,0,2,0,0,0,0,1,0,0,0
Madhya Pradesh,TIKAMGARH DTO - MP36,L3P,A.V.AUTOMOTIVES PVT LTD,1,2,0,1,4,1,0,0,0,0,0
Madhya Pradesh,TIKAMGARH DTO - MP36,L3P,AVON CYCLES LTD,0,0,8,3,1,0,1,2,0,2,2
Madhya Pradesh,TIKAMGARH DTO - MP36,L3P,BHM INDUSTRIES,0,0,0,0,0,0,0,0,1,0,0
Madhya Pradesh,TIKAMGARH DTO - MP36,L3P,CEEON INDIA,0,0,0,0,0,0,1,0,0,0,0
Madhya Pradesh,TIKAMGARH DTO - MP36,L3P,CHAMPION POLY PLAST,2,1,2,2,0,2,0,1,0,0,3
Madhya Pradesh,TIKAMGARH DTO - MP36,L3P,DILLI ELECTRIC AUTO PVT LTD,0,0,0,0,0,0,0,0,0,1,0
Madhya Pradesh,TIKAMGARH DTO - MP36,L3P,DUKE AUTO INDIA,0,0,0,0,0,0,1,0,0,1,0
Madhya Pradesh,TIKAMGARH DTO - MP36,L3P,ENERGY ELECTRIC VEHICLES,0,0,0,0,1,0,2,1,1,0,0
Madhya Pradesh,TIKAMGARH DTO - MP36,L3P,ENTICE IMPEX PVT LTD,3,0,1,0,0,4,0,0,0,1,1
Madhya Pradesh,TIKAMGARH DTO - MP36,L3P,HOTAGE INDIA,0,0,1,0,0,1,0,1,0,0,0
Madhya Pradesh,TIKAMGARH DTO - MP36,L3P,INS AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,1,0,0,0
Madhya Pradesh,TIKAMGARH DTO - MP36,L3P,INTERGLOBE ENERGY PVT LTD,0,0,0,0,1,0,1,0,0,0,1
Madhya Pradesh,TIKAMGARH DTO - MP36,L3P,J. S. AUTO (P) LTD,4,0,10,3,7,1,1,1,1,2,0
Madhya Pradesh,TIKAMGARH DTO - MP36,L3P,KHALSAE-VEHICLES PVT LTD,0,0,0,1,0,0,2,0,0,0,0
Madhya Pradesh,TIKAMGARH DTO - MP36,L3P,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,4,2,4,4,3,3,2,2,0,1,0
Madhya Pradesh,TIKAMGARH DTO - MP36,L3P,LOHIA AUTO INDUSTRIES,0,0,0,0,1,0,2,0,0,0,0
Madhya Pradesh,TIKAMGARH DTO - MP36,L3P,MINI METRO EV L.L.P,6,0,0,0,3,2,2,1,2,0,0
Madhya Pradesh,TIKAMGARH DTO - MP36,L3P,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,0,0,0,0,0,0,1,0,0,0,0
Madhya Pradesh,TIKAMGARH DTO - MP36,L3P,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,2,1,0,0,0,0,0,0,0,0,0
Madhya Pradesh,TIKAMGARH DTO - MP36,L3P,SAERA ELECTRIC AUTO PVT LTD,3,1,2,1,4,3,0,1,0,3,2
Madhya Pradesh,TIKAMGARH DTO - MP36,L3P,SAHNIANAND E VEHICLES PVT LTD,2,1,2,1,3,2,2,1,1,5,1
Madhya Pradesh,TIKAMGARH DTO - MP36,L3P,SHRI BARSANA E-VEHICLES PVT LTD,0,0,0,4,0,0,1,0,1,0,2
Madhya Pradesh,TIKAMGARH DTO - MP36,L3P,SUPER METRO INDUSTRIES,1,0,1,3,4,3,0,0,0,0,0
Madhya Pradesh,TIKAMGARH DTO - MP36,L3P,THUKRAL ELECTRIC BIKES PVT LTD,0,1,1,0,0,1,0,0,0,0,1
Madhya Pradesh,TIKAMGARH DTO - MP36,L3P,U.P. TELELINKS LIMITED,0,0,0,0,0,0,0,0,0,0,1
Madhya Pradesh,TIKAMGARH DTO - MP36,L3P,YC ELECTRIC VEHICLE,1,1,3,0,0,0,0,0,0,0,0
Madhya Pradesh,TIKAMGARH DTO - MP36,L3P,ZELIO E-MOBILITY LTD,0,1,1,0,1,2,1,0,0,0,0
Madhya Pradesh,TIKAMGARH DTO - MP36,L3P,ZENIAK INNOVATION INDIA LTD,0,0,0,0,0,0,8,3,0,1,0
