State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Madhya Pradesh,UJJAIN RTO - MP13,ICE,BAJAJ AUTO LTD,441,399,569,800,418,286,311,266,261,574,791,354
Madhya Pradesh,UJJAIN RTO - MP13,ICE,BMW INDIA PVT LTD,0,0,1,2,0,0,0,0,0,0,0,1
Madhya Pradesh,UJJAIN RTO - MP13,ICE,CLASSIC LEGENDS PVT LTD,7,8,10,3,1,1,3,2,2,3,8,0
Madhya Pradesh,UJJAIN RTO - MP13,ICE,HERO MOTOCORP LTD,780,655,933,"1,170",803,614,686,532,409,"1,472","1,987",452
Madhya Pradesh,UJJAIN RTO - MP13,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,827,701,"1,267","1,479",810,673,711,778,669,"1,412","1,762",528
Madhya Pradesh,UJJAIN RTO - MP13,ICE,INDIA KAWASAKI MOTORS PVT LTD,0,0,0,0,0,1,1,0,0,0,0,0
Madhya Pradesh,UJJAIN RTO - MP13,ICE,INDIA YAMAHA MOTOR PVT LTD,32,24,55,50,35,20,29,24,22,58,69,15
Madhya Pradesh,UJJAIN RTO - MP13,ICE,PIAGGIO VEHICLES PVT LTD,0,0,0,1,1,0,0,0,0,0,1,0
Madhya Pradesh,UJJAIN RTO - MP13,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),107,86,318,330,75,80,82,69,81,220,198,39
Madhya Pradesh,UJJAIN RTO - MP13,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,229,170,361,361,146,159,162,174,138,298,244,78
Madhya Pradesh,UJJAIN RTO - MP13,ICE,TVS MOTOR COMPANY LTD,377,308,470,675,288,252,283,275,269,534,602,222
