State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Madhya Pradesh,UJJAIN RTO - MP13,L3P,ALLFINE INDUSTRIES PVT LTD,1,0,1,0,0,0,1,0,0,0,0,0
Madhya Pradesh,UJJAIN RTO - MP13,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,3,5,6,6,2,3,7,4,2,2,6,1
Madhya Pradesh,UJJAIN RTO - MP13,L3P,ATUL AUTO LTD,3,3,4,0,0,1,2,2,1,0,0,0
Madhya Pradesh,UJJAIN RTO - MP13,L3P,BAXY LTD,2,1,0,2,1,2,4,1,0,0,1,0
Madhya Pradesh,UJJAIN RTO - MP13,L3P,BEST WAY AGENCIES PVT LTD,1,0,0,0,0,1,0,0,0,1,0,0
Madhya Pradesh,UJJAIN RTO - MP13,L3P,CHAMPION POLY PLAST,3,9,0,0,4,1,6,0,1,0,0,0
Madhya Pradesh,UJJAIN RTO - MP13,L3P,CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,6,1,6,0,5,4,8,0,3,5,1,0
Madhya Pradesh,UJJAIN RTO - MP13,L3P,CONTINENTAL ENGINES PVT LTD,1,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,UJJAIN RTO - MP13,L3P,DE EUSI MOTORS PVT LTD.,0,1,1,0,1,0,0,0,0,0,0,0
Madhya Pradesh,UJJAIN RTO - MP13,L3P,DELTA AUTOCORP LTD,3,4,3,2,1,0,0,0,0,0,0,0
Madhya Pradesh,UJJAIN RTO - MP13,L3P,DILLI ELECTRIC AUTO PVT LTD,36,41,38,44,25,65,62,26,18,28,25,26
Madhya Pradesh,UJJAIN RTO - MP13,L3P,ECO SMART VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,0,2,0
Madhya Pradesh,UJJAIN RTO - MP13,L3P,HOTAGE INDIA,0,10,9,10,4,5,11,0,5,4,7,3
Madhya Pradesh,UJJAIN RTO - MP13,L3P,JAL ENTERPRISES,0,0,0,0,0,0,1,0,0,0,0,0
Madhya Pradesh,UJJAIN RTO - MP13,L3P,J. S. AUTO (P) LTD,1,1,0,0,0,0,0,0,0,0,0,2
Madhya Pradesh,UJJAIN RTO - MP13,L3P,JS MOBILEON PVT LTD,0,0,0,0,0,0,1,0,0,0,0,0
Madhya Pradesh,UJJAIN RTO - MP13,L3P,KHALSAE-VEHICLES PVT LTD,0,0,0,0,0,0,1,0,0,0,0,0
Madhya Pradesh,UJJAIN RTO - MP13,L3P,KRISHNA VEHICALS,0,0,1,0,0,0,0,0,0,0,0,0
