State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Madhya Pradesh,UJJAIN RTO - MP13,L3G,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,1,2,6,6,0
Madhya Pradesh,UJJAIN RTO - MP13,L3G,ATUL AUTO LTD,0,1,0,0,0,0,0,0,0,1,3
Madhya Pradesh,UJJAIN RTO - MP13,L3G,A.V.AUTOMOTIVES PVT LTD,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,UJJAIN RTO - MP13,L3G,BAXY LTD,0,0,0,0,0,1,0,0,0,0,0
Madhya Pradesh,UJJAIN RTO - MP13,L3G,CHAMPION POLY PLAST,0,0,0,0,1,0,0,0,0,0,0
Madhya Pradesh,UJJAIN RTO - MP13,L3G,DE EUSI MOTORS PVT LTD.,0,0,0,2,0,0,0,0,0,0,0
Madhya Pradesh,UJJAIN RTO - MP13,L3G,JAL ENTERPRISES,0,0,0,0,0,0,2,0,0,0,0
Madhya Pradesh,UJJAIN RTO - MP13,L3G,KHALSAE-VEHICLES PVT LTD,0,0,0,0,0,0,0,0,1,0,1
Madhya Pradesh,UJJAIN RTO - MP13,L3G,MALI ENTERPRISES PVT LTD,0,0,0,1,2,3,1,0,0,0,0
Madhya Pradesh,UJJAIN RTO - MP13,L3G,MERCURY EV TECH LTD,0,0,0,0,0,0,0,0,0,1,0
Madhya Pradesh,UJJAIN RTO - MP13,L3G,RAJ AUTOMOTIVE,0,0,0,0,0,0,0,0,0,1,0
Madhya Pradesh,UJJAIN RTO - MP13,L3G,RCJ AUTO FORGE PVT LTD,0,0,0,0,0,0,1,0,0,0,0
Madhya Pradesh,UJJAIN RTO - MP13,L3G,SAERA ELECTRIC AUTO PVT LTD,0,2,1,0,0,1,0,0,0,1,0
Madhya Pradesh,UJJAIN RTO - MP13,L3G,SHRI BARSANA E-VEHICLES PVT LTD,0,0,0,0,0,0,1,0,0,0,0
Madhya Pradesh,UJJAIN RTO - MP13,L3G,SHRIRAJ ELECTRIC VEHICLES,0,0,1,2,0,0,5,0,3,2,1
Madhya Pradesh,UJJAIN RTO - MP13,L3G,SSB INDISTRIES,0,0,0,1,0,0,0,1,2,2,0
Madhya Pradesh,UJJAIN RTO - MP13,L3G,TSM ENGINEERING PVT LTD,0,0,0,0,0,0,0,0,0,2,0
Madhya Pradesh,UJJAIN RTO - MP13,L3G,TWO FRIENDS AUTO ELECTRIC PVT LTD,0,0,0,0,0,2,1,0,0,0,0
