State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Madhya Pradesh,VIDISHA DTO - MP40,E2W,ATHER ENERGY LTD,0,3,0,4,0,0,0,0,13,25,37
Madhya Pradesh,VIDISHA DTO - MP40,E2W,BAJAJ AUTO LTD,10,11,11,14,5,24,11,1,4,20,22
Madhya Pradesh,VIDISHA DTO - MP40,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,0,3,16,4,1,3,4,3,1,12,9
Madhya Pradesh,VIDISHA DTO - MP40,E2W,HERO ELECTRIC VEHICLES PVT. LTD,0,0,1,0,0,0,0,0,0,0,0
Madhya Pradesh,VIDISHA DTO - MP40,E2W,HERO MOTOCORP LTD,0,0,0,0,0,0,1,0,0,0,0
Madhya Pradesh,VIDISHA DTO - MP40,E2W,KAINING (HONGKONG) (IMPORTER: COMPTECH MOTOCORP),0,0,0,0,0,0,1,0,0,0,0
Madhya Pradesh,VIDISHA DTO - MP40,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,VIDISHA DTO - MP40,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,57,14,64,42,39,58,48,39,45,72,23
Madhya Pradesh,VIDISHA DTO - MP40,E2W,PUR ENERGY PVT LTD,0,0,0,0,0,0,20,10,10,30,20
Madhya Pradesh,VIDISHA DTO - MP40,E2W,REVOLT INTELLICORP PVT LTD,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,VIDISHA DTO - MP40,E2W,TVS MOTOR COMPANY LTD,71,61,94,63,77,79,50,27,48,85,109
Madhya Pradesh,VIDISHA DTO - MP40,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,1,0,0,0,0,0,0,0,0,0,0
