State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Maharashtra,BARAMATI - MH42,E2W,ATHER ENERGY LTD,15,13,9,22,21,13,25,20,17,37,33
Maharashtra,BARAMATI - MH42,E2W,BAJAJ AUTO LTD,121,103,199,118,120,125,122,72,95,160,99
Maharashtra,BARAMATI - MH42,E2W,BATTRE ELECTRIC MOBLITY PVT LTD,0,0,1,0,0,0,0,0,1,0,0
Maharashtra,BARAMATI - MH42,E2W,BGAUSS AUTO PRIVATE LIMITED,10,4,8,6,3,17,9,12,7,27,7
Maharashtra,BARAMATI - MH42,E2W,ELEGO MOTORS PVT LTD,2,1,0,3,1,1,0,0,0,0,0
Maharashtra,BARAMATI - MH42,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,1,1,3,10,4,1,6,1,2,4,5
Maharashtra,BARAMATI - MH42,E2W,HERO MOTOCORP LTD,1,0,17,13,19,12,16,10,10,27,9
Maharashtra,BARAMATI - MH42,E2W,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,0,0,0,22,11,4,6,3,1,1,0
Maharashtra,BARAMATI - MH42,E2W,KAINING (HONGKONG) (IMPORTER: COMPTECH MOTOCORP),1,2,0,0,1,1,3,0,0,0,2
Maharashtra,BARAMATI - MH42,E2W,KAINING (HONGKONG) (IMPORTER: SEEKA E MOTORS),0,0,0,0,0,0,0,0,0,0,0
Maharashtra,BARAMATI - MH42,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,5,3,6,4,3,4,5,6,2,17,1
Maharashtra,BARAMATI - MH42,E2W,KLB KOMAKI PVT LTD,0,0,0,0,0,0,0,0,0,0,1
Maharashtra,BARAMATI - MH42,E2W,OBEN ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,1,0,0
Maharashtra,BARAMATI - MH42,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,45,18,25,40,26,21,7,20,17,26,7
Maharashtra,BARAMATI - MH42,E2W,REVOLT INTELLICORP PVT LTD,3,2,11,4,8,5,4,2,2,7,1
Maharashtra,BARAMATI - MH42,E2W,RIVER MOBILITY PVT LTD,0,0,0,0,1,0,1,0,0,2,1
Maharashtra,BARAMATI - MH42,E2W,SIMPLEENERGY PVT LTD,0,0,0,0,2,0,0,0,0,0,0
Maharashtra,BARAMATI - MH42,E2W,TVS MOTOR COMPANY LTD,111,64,168,62,116,115,68,108,86,125,117
Maharashtra,BARAMATI - MH42,E2W,VELOCIFERO (IMPORTER: KAWVELOCE MOTORS PVT LTD),0,0,1,0,0,0,0,1,0,0,0
Maharashtra,BARAMATI - MH42,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,0,0,0,0,0,0,1,0,0,0
Maharashtra,BARAMATI - MH42,E2W,WUXI JIYAYI (IMPORTER: IZANAU ELECTRIC LLP),0,0,0,0,0,0,0,0,0,0,1
