State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Maharashtra,BHADGAON - MH54,E2W,ATHER ENERGY LTD,2,0,2,0,2,2,1,3,0,3,1
Maharashtra,BHADGAON - MH54,E2W,BAJAJ AUTO LTD,24,29,110,2,46,32,35,25,15,31,37
Maharashtra,BHADGAON - MH54,E2W,BGAUSS AUTO PRIVATE LIMITED,20,9,22,26,11,21,10,19,12,46,9
Maharashtra,BHADGAON - MH54,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,2,0,2,0,1,1,1,1,2,1,0
Maharashtra,BHADGAON - MH54,E2W,HERO MOTOCORP LTD,0,0,2,2,2,1,2,8,3,0,2
Maharashtra,BHADGAON - MH54,E2W,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,0,0,0,0,1,0,0,0,0,0,0
Maharashtra,BHADGAON - MH54,E2W,JITENDRA NEW EV-TECH PVT. LTD,0,0,0,0,1,0,0,1,0,0,0
Maharashtra,BHADGAON - MH54,E2W,KAINING (HONGKONG) (IMPORTER:M/S IZANAU ELECTRIC),0,0,0,0,0,0,0,0,1,0,0
Maharashtra,BHADGAON - MH54,E2W,KAINING (HONGKONG) (IMPORTER: SEEKA E MOTORS),0,0,0,0,0,0,0,1,0,0,0
Maharashtra,BHADGAON - MH54,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,4,0,1,0,1,2,1,1,1
Maharashtra,BHADGAON - MH54,E2W,OKINAWA AUTOTECH PVT LTD,2,0,0,0,0,0,3,0,0,0,1
Maharashtra,BHADGAON - MH54,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,2,1,4,6,3,6,0,5,0,1,2
Maharashtra,BHADGAON - MH54,E2W,REVOLT INTELLICORP PVT LTD,2,1,0,2,1,1,0,1,0,1,0
Maharashtra,BHADGAON - MH54,E2W,SOKUDO ELECTRIC INDIA PVT LTD,1,0,0,0,1,0,0,0,0,0,0
Maharashtra,BHADGAON - MH54,E2W,TVS MOTOR COMPANY LTD,4,4,16,5,9,3,3,3,4,8,4
Maharashtra,BHADGAON - MH54,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,4,0,9,1,1,1,2,2,0,1,1
Maharashtra,BHADGAON - MH54,E2W,WUXI JIYAYI (IMPORTER: IZANAU ELECTRIC LLP),0,0,0,0,0,0,3,5,3,0,0
Maharashtra,BHADGAON - MH54,E2W,ZAP (HK) (IMPORTER: IZANAU ELECTRIC),0,0,0,0,0,0,0,0,1,0,0
