State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Maharashtra,DHARASHIV - MH25,E2W,ATHER ENERGY LTD,4,6,4,5,2,5,7,12,15,22,16
Maharashtra,DHARASHIV - MH25,E2W,BAJAJ AUTO LTD,38,23,98,45,46,60,60,49,48,63,95
Maharashtra,DHARASHIV - MH25,E2W,BGAUSS AUTO PRIVATE LIMITED,0,0,0,2,0,0,0,0,0,1,0
Maharashtra,DHARASHIV - MH25,E2W,ELECTRIC ALLIANCE(IMPORTER: ELLYSIUM AUTOMOTIVES),1,0,0,0,1,0,0,0,0,1,0
Maharashtra,DHARASHIV - MH25,E2W,E-SPRINTO GREEN ENERGY PVT LTD,0,0,0,0,0,1,1,0,0,0,0
Maharashtra,DHARASHIV - MH25,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,0,2,0,3,3,3,13,6,5,12,6
Maharashtra,DHARASHIV - MH25,E2W,HERO MOTOCORP LTD,0,2,4,2,1,4,4,5,4,8,4
Maharashtra,DHARASHIV - MH25,E2W,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,0,0,0,0,0,1,0,0,0,0,0
Maharashtra,DHARASHIV - MH25,E2W,IVOOMI INNOVATION PVT LTD,1,0,0,0,0,0,0,0,0,0,0
Maharashtra,DHARASHIV - MH25,E2W,KAINING (HONGKONG) (IMPORTER: SEEKA E MOTORS),0,0,0,0,1,0,0,0,0,0,0
Maharashtra,DHARASHIV - MH25,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,6,5,3,7,7,1,2,1,1,1,3
Maharashtra,DHARASHIV - MH25,E2W,KLB KOMAKI PVT LTD,0,0,0,0,0,1,0,0,0,0,0
Maharashtra,DHARASHIV - MH25,E2W,MATTER MOTOR WORKS PVT LTD,0,0,0,0,0,0,0,0,0,0,1
Maharashtra,DHARASHIV - MH25,E2W,OKINAWA AUTOTECH PVT LTD,0,0,0,1,0,0,1,0,0,0,0
Maharashtra,DHARASHIV - MH25,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,11,1,8,2,3,7,1,4,4,6,4
Maharashtra,DHARASHIV - MH25,E2W,PUR ENERGY PVT LTD,0,0,0,0,0,0,1,0,0,0,0
Maharashtra,DHARASHIV - MH25,E2W,REVOLT INTELLICORP PVT LTD,2,0,4,2,1,0,2,0,5,1,1
Maharashtra,DHARASHIV - MH25,E2W,TVS MOTOR COMPANY LTD,36,22,75,21,34,33,36,29,20,36,52
Maharashtra,DHARASHIV - MH25,E2W,ULTRAVIOLETTE AUTOMOTIVE PVT LTD,0,0,0,0,0,0,0,1,0,0,0
Maharashtra,DHARASHIV - MH25,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,0,0,0,0,1,0,0,0,0,0
