State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Maharashtra,DY RTO RATNAGIRI - MH8,E2W,ATHER ENERGY LTD,17,11,16,10,9,10,8,12,11,29,16
Maharashtra,DY RTO RATNAGIRI - MH8,E2W,BAJAJ AUTO LTD,17,17,39,21,43,32,18,20,29,55,17
Maharashtra,DY RTO RATNAGIRI - MH8,E2W,BGAUSS AUTO PRIVATE LIMITED,1,4,11,3,14,5,10,6,4,17,6
Maharashtra,DY RTO RATNAGIRI - MH8,E2W,ELECTRECA VEHICLES,1,0,0,0,0,0,0,0,0,0,0
Maharashtra,DY RTO RATNAGIRI - MH8,E2W,ENGTIAN ELECTRIC BIKE PVT LTD,0,1,0,1,0,0,0,0,0,0,0
Maharashtra,DY RTO RATNAGIRI - MH8,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Maharashtra,DY RTO RATNAGIRI - MH8,E2W,HERO MOTOCORP LTD,1,0,1,7,2,5,11,4,10,9,19
Maharashtra,DY RTO RATNAGIRI - MH8,E2W,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,0,0,0,0,0,0,0,1,0,0,0
Maharashtra,DY RTO RATNAGIRI - MH8,E2W,IZANAU ELECTRIC LLP,1,1,0,0,0,0,0,0,0,0,0
Maharashtra,DY RTO RATNAGIRI - MH8,E2W,JIANGSU XINRI (IMPORTER: ECO FUEL SYSTEMS LTD),0,0,0,0,1,0,0,0,0,0,0
Maharashtra,DY RTO RATNAGIRI - MH8,E2W,JITENDRA NEW EV-TECH PVT. LTD,0,0,0,0,0,0,0,0,1,0,0
Maharashtra,DY RTO RATNAGIRI - MH8,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,2,0,0,0,1,0,0,0,0
Maharashtra,DY RTO RATNAGIRI - MH8,E2W,KLB KOMAKI PVT LTD,2,0,0,0,0,0,1,0,1,0,1
Maharashtra,DY RTO RATNAGIRI - MH8,E2W,MATTER MOTOR WORKS PVT LTD,0,0,0,0,0,0,0,0,1,0,0
Maharashtra,DY RTO RATNAGIRI - MH8,E2W,OKINAWA AUTOTECH PVT LTD,0,2,1,2,0,1,0,0,0,0,0
Maharashtra,DY RTO RATNAGIRI - MH8,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,33,15,26,13,19,12,2,5,3,4,1
Maharashtra,DY RTO RATNAGIRI - MH8,E2W,PUR ENERGY PVT LTD,2,0,0,0,0,0,0,0,0,0,0
Maharashtra,DY RTO RATNAGIRI - MH8,E2W,REVOLT INTELLICORP PVT LTD,1,0,1,0,0,0,0,0,0,0,0
Maharashtra,DY RTO RATNAGIRI - MH8,E2W,RIVER MOBILITY PVT LTD,0,0,0,1,0,0,0,0,0,0,0
Maharashtra,DY RTO RATNAGIRI - MH8,E2W,SIMPLEENERGY PVT LTD,0,0,1,0,0,0,0,0,0,0,0
Maharashtra,DY RTO RATNAGIRI - MH8,E2W,TVS MOTOR COMPANY LTD,50,30,87,37,33,39,44,38,34,53,39
Maharashtra,DY RTO RATNAGIRI - MH8,E2W,ULTRAVIOLETTE AUTOMOTIVE PVT LTD,0,0,0,0,0,0,1,0,0,0,0
Maharashtra,DY RTO RATNAGIRI - MH8,E2W,VELOCIFERO (IMPORTER: KAWVELOCE MOTORS PVT LTD),1,0,0,0,0,1,2,0,0,3,4
Maharashtra,DY RTO RATNAGIRI - MH8,E2W,ZAP (HK) (IMPORTER: IZANAU ELECTRIC),0,0,0,1,0,0,0,0,0,0,0
