State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Maharashtra,ICHALKARANJI - MH51,E2W,ATHER ENERGY LTD,31,31,72,56,27,34,37,28,54,114,80
Maharashtra,ICHALKARANJI - MH51,E2W,BAJAJ AUTO LTD,101,92,194,128,113,82,84,64,77,156,91
Maharashtra,ICHALKARANJI - MH51,E2W,BATTRE ELECTRIC MOBLITY PVT LTD,1,0,0,0,0,0,0,0,0,0,0
Maharashtra,ICHALKARANJI - MH51,E2W,BGAUSS AUTO PRIVATE LIMITED,1,2,8,2,2,3,5,6,11,14,15
Maharashtra,ICHALKARANJI - MH51,E2W,CHINA HAOCHEN (IMPORTER: ADMS MARKETING),2,0,0,0,0,0,0,0,0,0,0
Maharashtra,ICHALKARANJI - MH51,E2W,DAO EVTECH PRIVATE LIMITED,0,0,0,0,0,0,0,1,0,0,0
Maharashtra,ICHALKARANJI - MH51,E2W,ENGTIAN ELECTRIC BIKE PVT LTD,0,0,0,0,0,0,0,0,0,0,1
Maharashtra,ICHALKARANJI - MH51,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,0,0,0,0,0,0,0,0,0,1,0
Maharashtra,ICHALKARANJI - MH51,E2W,HERO ELECTRIC VEHICLES PVT. LTD,0,0,0,0,0,1,0,0,0,0,0
Maharashtra,ICHALKARANJI - MH51,E2W,HERO MOTOCORP LTD,2,3,13,7,7,4,8,23,28,25,25
Maharashtra,ICHALKARANJI - MH51,E2W,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,0,0,0,1,0,1,4,9,3,4,2
Maharashtra,ICHALKARANJI - MH51,E2W,IVOOMI INNOVATION PVT LTD,2,1,1,1,4,1,0,0,0,0,0
Maharashtra,ICHALKARANJI - MH51,E2W,JIANGSU DALONG (IMPORTER: ENGTIAN ELECTRIC),0,0,0,0,0,0,0,0,3,0,2
Maharashtra,ICHALKARANJI - MH51,E2W,KAINING (HONGKONG) (IMPORTER: COMPTECH MOTOCORP),0,0,0,0,1,0,0,0,0,0,0
Maharashtra,ICHALKARANJI - MH51,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,1,0,1,2,0,0,1,2,0
Maharashtra,ICHALKARANJI - MH51,E2W,KLB KOMAKI PVT LTD,2,0,0,0,0,1,0,0,0,1,0
Maharashtra,ICHALKARANJI - MH51,E2W,KYTE ENERGY PVT. LTD.,0,0,0,0,1,0,0,0,0,0,0
Maharashtra,ICHALKARANJI - MH51,E2W,LECTRIX E VEHICLES PVT LTD,0,0,0,0,0,0,0,3,2,0,0
Maharashtra,ICHALKARANJI - MH51,E2W,OKINAWA AUTOTECH PVT LTD,0,0,1,0,0,0,0,0,0,0,0
Maharashtra,ICHALKARANJI - MH51,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,22,4,19,27,17,8,8,5,6,7,3
Maharashtra,ICHALKARANJI - MH51,E2W,REVOLT INTELLICORP PVT LTD,1,6,6,3,8,2,1,3,3,2,2
Maharashtra,ICHALKARANJI - MH51,E2W,SIMPLEENERGY PVT LTD,1,0,0,0,0,0,0,0,0,0,0
Maharashtra,ICHALKARANJI - MH51,E2W,TVS MOTOR COMPANY LTD,156,92,220,144,134,116,77,128,121,159,151
Maharashtra,ICHALKARANJI - MH51,E2W,ULTRAVIOLETTE AUTOMOTIVE PVT LTD,0,0,0,0,0,0,0,1,0,0,0
Maharashtra,ICHALKARANJI - MH51,E2W,VELOCIFERO (IMPORTER: KAWVELOCE MOTORS PVT LTD),0,0,0,0,0,0,0,2,0,2,4
Maharashtra,ICHALKARANJI - MH51,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,0,0,1,0,0,0,0,0,0,0
Maharashtra,ICHALKARANJI - MH51,E2W,YOUYAKU ELECTRIC (IMPORTER: HOUSTAN INNOVATION),0,6,0,0,0,0,0,0,0,0,0
