State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Maharashtra,KHAMGAON - MH56,E2W,ATHER ENERGY LTD,11,16,18,8,15,11,13,11,15,19,22
Maharashtra,KHAMGAON - MH56,E2W,BAJAJ AUTO LTD,26,35,44,9,25,22,20,22,17,51,39
Maharashtra,KHAMGAON - MH56,E2W,BATTRE ELECTRIC MOBLITY PVT LTD,0,0,2,0,0,0,0,0,0,0,0
Maharashtra,KHAMGAON - MH56,E2W,BGAUSS AUTO PRIVATE LIMITED,1,0,0,0,0,0,0,0,0,0,0
Maharashtra,KHAMGAON - MH56,E2W,CHINA HAOCHEN (IMPORTER: ADMS MARKETING),0,0,0,1,0,0,0,0,0,0,0
Maharashtra,KHAMGAON - MH56,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,0,0,0,1,0,0,0,0,0,0,0
Maharashtra,KHAMGAON - MH56,E2W,HERO MOTOCORP LTD,1,0,0,1,0,0,0,6,1,1,3
Maharashtra,KHAMGAON - MH56,E2W,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,0,0,1,0,0,0,0,0,0,0,0
Maharashtra,KHAMGAON - MH56,E2W,KAINING (HONGKONG) (IMPORTER: SEEKA E MOTORS),0,0,0,0,0,0,1,0,0,1,3
Maharashtra,KHAMGAON - MH56,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,1,0,2,1,0,0,0,0,0,0,0
Maharashtra,KHAMGAON - MH56,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,12,6,17,7,0,1,0,0,1,0,1
Maharashtra,KHAMGAON - MH56,E2W,REVOLT INTELLICORP PVT LTD,0,0,1,0,1,1,0,0,0,1,0
Maharashtra,KHAMGAON - MH56,E2W,TVS MOTOR COMPANY LTD,6,0,11,0,1,8,5,6,6,12,11
Maharashtra,KHAMGAON - MH56,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,1,4,4,0,2,0,2,2,2,3,0
Maharashtra,KHAMGAON - MH56,E2W,WUXI TENGHUI (IMPORTER: SEEKA E MOTORS),0,0,0,0,0,0,0,0,0,0,3
