State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Maharashtra,MIRA BHAYANDAR - MH58,E2W,ATHER ENERGY LTD,6,4,1,4,1,2,4,1,7,2,1
Maharashtra,MIRA BHAYANDAR - MH58,E2W,BAJAJ AUTO LTD,1,6,5,1,2,3,2,0,4,1,2
Maharashtra,MIRA BHAYANDAR - MH58,E2W,BATTRE ELECTRIC MOBLITY PVT LTD,0,0,0,0,1,0,0,0,1,0,0
Maharashtra,MIRA BHAYANDAR - MH58,E2W,BGAUSS AUTO PRIVATE LIMITED,0,0,0,0,0,1,0,0,0,0,0
Maharashtra,MIRA BHAYANDAR - MH58,E2W,BMW INDIA PVT LTD,0,0,0,0,0,0,0,0,0,0,1
Maharashtra,MIRA BHAYANDAR - MH58,E2W,GODAWARI ELECTRIC MOTORS PVT LTD,0,0,0,0,0,1,0,0,0,0,0
Maharashtra,MIRA BHAYANDAR - MH58,E2W,HERO MOTOCORP LTD,3,1,6,13,2,6,6,13,9,6,4
Maharashtra,MIRA BHAYANDAR - MH58,E2W,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,0,0,0,1,1,0,0,2,0,0,1
Maharashtra,MIRA BHAYANDAR - MH58,E2W,KLB KOMAKI PVT LTD,0,1,0,0,0,0,0,0,0,0,0
Maharashtra,MIRA BHAYANDAR - MH58,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,19,4,12,10,2,0,0,2,1,2,0
Maharashtra,MIRA BHAYANDAR - MH58,E2W,PUR ENERGY PVT LTD,0,0,0,0,0,1,0,0,0,0,0
Maharashtra,MIRA BHAYANDAR - MH58,E2W,REVOLT INTELLICORP PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Maharashtra,MIRA BHAYANDAR - MH58,E2W,RIVER MOBILITY PVT LTD,0,0,0,0,0,0,0,0,0,1,0
Maharashtra,MIRA BHAYANDAR - MH58,E2W,TVS MOTOR COMPANY LTD,17,17,14,13,1,7,13,13,21,24,19
Maharashtra,MIRA BHAYANDAR - MH58,E2W,ULTRAVIOLETTE AUTOMOTIVE PVT LTD,0,0,0,0,1,0,0,0,0,0,0
Maharashtra,MIRA BHAYANDAR - MH58,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,1,1,0,1,0,0,0,0,0,0,0
