State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Maharashtra,MUMBAI (EAST) - MH3,E2W,ATHER ENERGY LTD,19,9,12,13,10,14,15,10,17,21,33
Maharashtra,MUMBAI (EAST) - MH3,E2W,BAJAJ AUTO LTD,8,10,25,12,15,12,7,2,4,10,2
Maharashtra,MUMBAI (EAST) - MH3,E2W,BGAUSS AUTO PRIVATE LIMITED,4,1,70,3,5,1,1,0,5,0,0
Maharashtra,MUMBAI (EAST) - MH3,E2W,BMW INDIA PVT LTD,0,1,0,0,0,0,0,0,0,0,4
Maharashtra,MUMBAI (EAST) - MH3,E2W,ELECTRIC ALLIANCE(IMPORTER: ELLYSIUM AUTOMOTIVES),0,0,0,0,0,0,0,0,0,0,1
Maharashtra,MUMBAI (EAST) - MH3,E2W,ENGTIAN ELECTRIC BIKE PVT LTD,0,1,0,0,0,0,0,0,0,0,0
Maharashtra,MUMBAI (EAST) - MH3,E2W,EXERVAL PVT LTD,0,0,1,0,0,0,0,0,0,0,0
Maharashtra,MUMBAI (EAST) - MH3,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,0,0,2,0,1,5,2,1,1,0,2
Maharashtra,MUMBAI (EAST) - MH3,E2W,HAYASA E-MOBILITY (INDIA) PVT LTD,0,0,0,0,0,0,0,0,0,1,0
Maharashtra,MUMBAI (EAST) - MH3,E2W,HERO MOTOCORP LTD,13,13,27,28,13,15,23,51,28,51,26
Maharashtra,MUMBAI (EAST) - MH3,E2W,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,0,0,0,1,2,0,3,1,0,1,3
Maharashtra,MUMBAI (EAST) - MH3,E2W,JIANGSU XINRI (IMPORTER: ECO FUEL SYSTEMS LTD),1,0,0,0,0,0,0,1,0,0,0
Maharashtra,MUMBAI (EAST) - MH3,E2W,JITENDRA NEW EV-TECH PVT. LTD,0,0,0,0,0,0,0,1,0,0,0
Maharashtra,MUMBAI (EAST) - MH3,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,3,3,1,2,0,1,1,0,0,6,1
Maharashtra,MUMBAI (EAST) - MH3,E2W,KLB KOMAKI PVT LTD,0,0,1,0,0,0,0,2,0,1,0
Maharashtra,MUMBAI (EAST) - MH3,E2W,LECTRIX E VEHICLES PVT LTD,0,0,50,50,0,0,0,0,0,0,1
Maharashtra,MUMBAI (EAST) - MH3,E2W,MATTER MOTOR WORKS PVT LTD,0,0,0,0,0,0,0,0,3,0,0
Maharashtra,MUMBAI (EAST) - MH3,E2W,ODYSSE ELECTRIC VEHICLES PVT LTD,0,0,79,420,2,100,0,0,65,0,77
Maharashtra,MUMBAI (EAST) - MH3,E2W,OKINAWA AUTOTECH PVT LTD,0,0,0,1,0,0,0,0,0,0,0
Maharashtra,MUMBAI (EAST) - MH3,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,16,8,20,17,13,20,14,12,7,6,2
Maharashtra,MUMBAI (EAST) - MH3,E2W,PUR ENERGY PVT LTD,40,0,0,0,0,0,0,0,0,0,0
Maharashtra,MUMBAI (EAST) - MH3,E2W,QUANTUM ENERGY LTD.,0,0,22,0,0,1,1,0,0,0,0
Maharashtra,MUMBAI (EAST) - MH3,E2W,REVOLT INTELLICORP PVT LTD,3,0,7,1,2,4,1,1,1,0,3
Maharashtra,MUMBAI (EAST) - MH3,E2W,SIMPLEENERGY PVT LTD,0,0,1,0,0,0,0,2,1,0,0
Maharashtra,MUMBAI (EAST) - MH3,E2W,TVS MOTOR COMPANY LTD,4,8,5,4,3,15,7,8,8,5,11
Maharashtra,MUMBAI (EAST) - MH3,E2W,ULTRAVIOLETTE AUTOMOTIVE PVT LTD,1,2,1,0,3,0,3,4,2,0,1
Maharashtra,MUMBAI (EAST) - MH3,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,0,1,0,0,0,0,0,1,0,0
