State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Maharashtra,NASHIK - MH15,E2W,ATHER ENERGY LTD,158,87,201,144,140,115,139,151,241,436,309
Maharashtra,NASHIK - MH15,E2W,BAJAJ AUTO LTD,371,270,877,319,370,443,421,256,336,564,456
Maharashtra,NASHIK - MH15,E2W,BATTRE ELECTRIC MOBLITY PVT LTD,0,0,1,1,2,0,0,0,0,0,0
Maharashtra,NASHIK - MH15,E2W,BGAUSS AUTO PRIVATE LIMITED,57,34,81,25,31,32,25,27,42,45,30
Maharashtra,NASHIK - MH15,E2W,BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,0,0,0,2,0,3,0,0,2,2,3
Maharashtra,NASHIK - MH15,E2W,CHINA HAOCHEN (IMPORTER: ADMS MARKETING),1,0,0,0,0,0,0,0,0,0,0
Maharashtra,NASHIK - MH15,E2W,ENGTIAN ELECTRIC BIKE PVT LTD,0,1,0,0,0,0,0,0,0,0,0
Maharashtra,NASHIK - MH15,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,32,12,49,25,39,22,13,17,22,33,34
Maharashtra,NASHIK - MH15,E2W,HERO ELECTRIC VEHICLES PVT. LTD,0,0,0,0,2,0,0,0,0,0,0
Maharashtra,NASHIK - MH15,E2W,HERO MOTOCORP LTD,14,22,87,64,147,64,112,133,209,242,128
Maharashtra,NASHIK - MH15,E2W,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,0,0,0,0,0,1,2,3,5,2,5
Maharashtra,NASHIK - MH15,E2W,HONGKONG YIXING (IMPORTER: ADMS MARKETING),0,0,1,0,0,0,0,0,0,0,0
Maharashtra,NASHIK - MH15,E2W,IVOOMI INNOVATION PVT LTD,0,3,0,0,2,0,1,0,0,0,0
Maharashtra,NASHIK - MH15,E2W,JIANGSU DALONG (IMPORTER: ENGTIAN ELECTRIC),0,0,0,0,0,0,0,0,1,0,0
Maharashtra,NASHIK - MH15,E2W,JITENDRA NEW EV-TECH PVT. LTD,4,2,2,3,3,1,2,2,2,4,5
Maharashtra,NASHIK - MH15,E2W,JUNENG MOTORCYCLE (IMPORTER: ADMS MARKETING),0,0,0,0,0,1,0,0,0,0,0
Maharashtra,NASHIK - MH15,E2W,JUNENG MOTORCYCLE (IMPORTER: ISCOOT MOTERS),0,0,1,1,0,0,0,0,0,0,0
Maharashtra,NASHIK - MH15,E2W,JUNENG MOTORCYCLE (IMPORTER: JHEV MOTORS PVT LTD),0,0,0,0,0,0,1,0,0,0,0
Maharashtra,NASHIK - MH15,E2W,KAINING (HONGKONG) (IMPORTER:M/S IZANAU ELECTRIC),0,0,0,0,0,0,0,0,0,0,3
Maharashtra,NASHIK - MH15,E2W,KAINING (HONGKONG) (IMPORTER: SEEKA E MOTORS),0,0,0,0,0,0,0,1,0,0,0
Maharashtra,NASHIK - MH15,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,8,5,7,9,9,5,5,7,7,7,4
Maharashtra,NASHIK - MH15,E2W,KLB KOMAKI PVT LTD,0,0,6,2,0,0,3,1,0,1,0
Maharashtra,NASHIK - MH15,E2W,KYTE ENERGY PVT. LTD.,5,0,29,1,11,10,11,0,0,0,9
Maharashtra,NASHIK - MH15,E2W,LECTRIX E VEHICLES PVT LTD,0,0,0,0,2,0,6,3,4,3,10
Maharashtra,NASHIK - MH15,E2W,MATTER MOTOR WORKS PVT LTD,0,0,0,0,0,0,0,1,0,1,0
Maharashtra,NASHIK - MH15,E2W,NANJING VMOTO (IMPORTER: VAJRAM ELECTRIC MOBILITY),0,0,0,0,0,0,0,0,0,0,1
Maharashtra,NASHIK - MH15,E2W,ODYSSE ELECTRIC VEHICLES PVT LTD,0,0,0,1,0,0,0,0,0,0,0
Maharashtra,NASHIK - MH15,E2W,OKAYA EV PVT LTD,1,0,0,1,2,0,0,0,1,0,0
Maharashtra,NASHIK - MH15,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,178,44,238,163,107,114,71,59,51,34,19
Maharashtra,NASHIK - MH15,E2W,PUR ENERGY PVT LTD,0,10,10,15,22,30,20,10,1,0,0
Maharashtra,NASHIK - MH15,E2W,QUANTUM ENERGY LTD.,0,0,0,0,0,3,0,1,0,0,2
Maharashtra,NASHIK - MH15,E2W,REVOLT INTELLICORP PVT LTD,14,6,14,8,10,2,6,2,10,9,4
Maharashtra,NASHIK - MH15,E2W,RIVER MOBILITY PVT LTD,0,0,0,0,0,0,0,0,1,2,1
Maharashtra,NASHIK - MH15,E2W,SIMPLEENERGY PVT LTD,1,0,1,0,1,0,0,0,0,2,0
Maharashtra,NASHIK - MH15,E2W,TVS MOTOR COMPANY LTD,131,79,217,63,158,120,93,102,129,154,144
Maharashtra,NASHIK - MH15,E2W,ULTRAVIOLETTE AUTOMOTIVE PVT LTD,0,0,0,0,1,0,1,0,0,1,0
Maharashtra,NASHIK - MH15,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,3,1,2,3,2,1,4,5,2,0,0
Maharashtra,NASHIK - MH15,E2W,WUXI JIYAYI (IMPORTER: IZANAU ELECTRIC LLP),0,0,0,0,0,0,0,0,0,2,4
Maharashtra,NASHIK - MH15,E2W,WUXI MAYA (IMPORTER: DYNAMO ELECTRIC P. LTD.),0,0,0,3,0,1,0,0,0,0,0
Maharashtra,NASHIK - MH15,E2W,ZAP (HK) (IMPORTER: IZANAU ELECTRIC),0,0,0,0,0,0,1,0,0,0,0
Maharashtra,NASHIK - MH15,E2W,ZAP (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),1,0,0,0,0,0,0,0,0,0,0
