State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Maharashtra,R.T.O.BORIVALI - MH47,E2W,ATHER ENERGY LTD,26,17,13,25,25,11,10,14,17,19,22
Maharashtra,R.T.O.BORIVALI - MH47,E2W,BAJAJ AUTO LTD,5,9,20,8,9,4,7,2,1,1,5
Maharashtra,R.T.O.BORIVALI - MH47,E2W,BATTRE ELECTRIC MOBLITY PVT LTD,0,0,1,0,0,0,0,0,0,0,0
Maharashtra,R.T.O.BORIVALI - MH47,E2W,BGAUSS AUTO PRIVATE LIMITED,0,2,593,7,1,48,0,2,3,2,0
Maharashtra,R.T.O.BORIVALI - MH47,E2W,BMW INDIA PVT LTD,0,0,0,0,0,0,0,0,0,2,1
Maharashtra,R.T.O.BORIVALI - MH47,E2W,CHINA HAOCHEN (IMPORTER: ADMS MARKETING),0,1,0,0,0,0,0,0,0,0,0
Maharashtra,R.T.O.BORIVALI - MH47,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,0,0,0,0,0,2,0,0,1,0,0
Maharashtra,R.T.O.BORIVALI - MH47,E2W,HERO MOTOCORP LTD,0,6,38,24,15,11,20,32,33,32,25
Maharashtra,R.T.O.BORIVALI - MH47,E2W,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,0,0,0,4,3,3,7,4,5,2,1
Maharashtra,R.T.O.BORIVALI - MH47,E2W,JIANGSU DALONG (IMPORTER: RILOX EV PVT LTD),0,0,0,1,0,0,0,0,0,30,38
Maharashtra,R.T.O.BORIVALI - MH47,E2W,JIANGSU XINRI (IMPORTER: ECO FUEL SYSTEMS LTD),1,1,0,1,0,0,0,0,0,1,0
Maharashtra,R.T.O.BORIVALI - MH47,E2W,JITENDRA NEW EV-TECH PVT. LTD,0,0,0,1,0,0,0,0,0,0,0
Maharashtra,R.T.O.BORIVALI - MH47,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,4,0,0,0,0,0,1,0,0,0
Maharashtra,R.T.O.BORIVALI - MH47,E2W,KLB KOMAKI PVT LTD,0,1,0,0,0,1,1,0,0,1,2
Maharashtra,R.T.O.BORIVALI - MH47,E2W,MATTER MOTOR WORKS PVT LTD,0,0,0,0,0,0,0,0,1,2,0
Maharashtra,R.T.O.BORIVALI - MH47,E2W,OBEN ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,0,1
Maharashtra,R.T.O.BORIVALI - MH47,E2W,ODYSSE ELECTRIC VEHICLES PVT LTD,0,3,0,1,0,0,0,0,0,0,1
Maharashtra,R.T.O.BORIVALI - MH47,E2W,OKINAWA AUTOTECH PVT LTD,0,1,0,1,1,1,0,0,1,13,0
Maharashtra,R.T.O.BORIVALI - MH47,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,31,2,40,17,12,12,13,12,13,8,6
Maharashtra,R.T.O.BORIVALI - MH47,E2W,PUR ENERGY PVT LTD,0,10,1,0,1,0,0,0,0,0,0
Maharashtra,R.T.O.BORIVALI - MH47,E2W,REVOLT INTELLICORP PVT LTD,6,1,2,4,0,0,3,0,3,1,2
Maharashtra,R.T.O.BORIVALI - MH47,E2W,RIVER MOBILITY PVT LTD,0,0,0,0,1,0,0,0,0,0,0
Maharashtra,R.T.O.BORIVALI - MH47,E2W,SEEKA E MOTORS PVT LTD,0,0,0,0,0,0,0,1,0,0,0
Maharashtra,R.T.O.BORIVALI - MH47,E2W,TVS MOTOR COMPANY LTD,8,9,17,6,6,5,10,8,9,12,24
Maharashtra,R.T.O.BORIVALI - MH47,E2W,ULTRAVIOLETTE AUTOMOTIVE PVT LTD,1,1,2,3,1,2,1,2,0,0,4
Maharashtra,R.T.O.BORIVALI - MH47,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,1,2,2,1,4,5,3,2,1,0,0
Maharashtra,R.T.O.BORIVALI - MH47,E2W,WUXI TENGHUI (IMPORTER: SEEKA E MOTORS),0,1,0,0,0,0,0,0,0,0,0
