State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Maharashtra,RTO CHANDRAPUR - MH34,E2W,ATHER ENERGY LTD,3,8,2,4,5,4,6,2,12,25,35
Maharashtra,RTO CHANDRAPUR - MH34,E2W,BAJAJ AUTO LTD,58,93,127,57,85,77,75,37,66,101,84
Maharashtra,RTO CHANDRAPUR - MH34,E2W,BGAUSS AUTO PRIVATE LIMITED,0,0,0,0,0,1,0,0,0,0,0
Maharashtra,RTO CHANDRAPUR - MH34,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,1,0,0,0,0,0,0,0,1,0,0
Maharashtra,RTO CHANDRAPUR - MH34,E2W,HERO MOTOCORP LTD,0,0,0,2,1,1,3,1,4,3,1
Maharashtra,RTO CHANDRAPUR - MH34,E2W,JUNENG MOTORCYCLE (IMPORTER: JHEV MOTORS PVT LTD),0,0,0,0,1,0,0,0,0,0,0
Maharashtra,RTO CHANDRAPUR - MH34,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,1,0,1,1,0,0,0,0,0,0
Maharashtra,RTO CHANDRAPUR - MH34,E2W,KYTE ENERGY PVT. LTD.,0,0,0,0,0,0,1,0,0,0,0
Maharashtra,RTO CHANDRAPUR - MH34,E2W,MECPOWER MOBILITY PVT. LTD.,1,0,0,0,0,0,1,0,0,0,0
Maharashtra,RTO CHANDRAPUR - MH34,E2W,OKAYA EV PVT LTD,1,0,0,0,0,0,0,0,0,0,1
Maharashtra,RTO CHANDRAPUR - MH34,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,65,17,70,57,39,66,24,50,43,37,14
Maharashtra,RTO CHANDRAPUR - MH34,E2W,TVS MOTOR COMPANY LTD,29,18,48,24,48,28,29,30,31,50,48
Maharashtra,RTO CHANDRAPUR - MH34,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,0,0,0,0,0,0,3,1,3,4
