State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Maharashtra,RTO SOLAPUR - MH13,E2W,ATHER ENERGY LTD,69,71,84,141,58,54,91,141,76,186,166
Maharashtra,RTO SOLAPUR - MH13,E2W,BAJAJ AUTO LTD,159,212,509,73,180,177,141,126,135,211,207
Maharashtra,RTO SOLAPUR - MH13,E2W,BATTRE ELECTRIC MOBLITY PVT LTD,1,3,4,0,0,0,0,0,0,0,0
Maharashtra,RTO SOLAPUR - MH13,E2W,BGAUSS AUTO PRIVATE LIMITED,34,27,24,7,11,10,14,11,9,27,16
Maharashtra,RTO SOLAPUR - MH13,E2W,CHINA HAOCHEN (IMPORTER: ADMS MARKETING),0,0,1,1,0,0,0,0,0,0,0
Maharashtra,RTO SOLAPUR - MH13,E2W,ELECTRIC ALLIANCE(IMPORTER: ELLYSIUM AUTOMOTIVES),0,0,0,0,0,0,0,0,2,0,1
Maharashtra,RTO SOLAPUR - MH13,E2W,ELEGO MOTORS PVT LTD,1,0,0,1,0,0,0,0,0,0,0
Maharashtra,RTO SOLAPUR - MH13,E2W,GOLDENLION (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),0,0,0,0,1,0,0,0,0,0,0
Maharashtra,RTO SOLAPUR - MH13,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,9,2,7,4,4,7,3,4,4,18,1
Maharashtra,RTO SOLAPUR - MH13,E2W,GUANGXI MEIBAO(IMPORTER: DYNAMO ELECTRIC),0,0,1,0,0,0,0,0,0,0,0
Maharashtra,RTO SOLAPUR - MH13,E2W,HERO ELECTRIC VEHICLES PVT. LTD,0,0,0,1,0,0,0,1,0,0,0
Maharashtra,RTO SOLAPUR - MH13,E2W,HERO MOTOCORP LTD,12,32,129,93,79,76,117,187,136,218,112
Maharashtra,RTO SOLAPUR - MH13,E2W,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,0,0,0,0,0,0,2,1,1,2,0
Maharashtra,RTO SOLAPUR - MH13,E2W,HONGKONG YIXING (IMPORTER: ADMS MARKETING),0,0,1,0,0,0,0,0,0,0,0
Maharashtra,RTO SOLAPUR - MH13,E2W,JITENDRA NEW EV-TECH PVT. LTD,1,0,0,0,0,0,0,0,0,0,0
Maharashtra,RTO SOLAPUR - MH13,E2W,JUNENG MOTORCYCLE (IMPORTER: JHEV MOTORS PVT LTD),0,0,0,0,0,1,0,0,0,0,0
Maharashtra,RTO SOLAPUR - MH13,E2W,KAINING (HONGKONG) (IMPORTER:M/S IZANAU ELECTRIC),0,1,0,0,0,0,0,0,0,0,0
Maharashtra,RTO SOLAPUR - MH13,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,25,22,8,23,23,10,15,4,10,2,34
Maharashtra,RTO SOLAPUR - MH13,E2W,KLB KOMAKI PVT LTD,0,1,2,0,0,0,1,0,4,2,6
Maharashtra,RTO SOLAPUR - MH13,E2W,KYTE ENERGY PVT. LTD.,1,3,0,1,3,0,6,1,3,0,0
Maharashtra,RTO SOLAPUR - MH13,E2W,MATTER MOTOR WORKS PVT LTD,0,0,0,0,0,0,1,0,0,0,0
Maharashtra,RTO SOLAPUR - MH13,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,38,9,73,45,28,27,14,33,32,32,8
Maharashtra,RTO SOLAPUR - MH13,E2W,PUR ENERGY PVT LTD,1,10,11,16,22,31,23,21,1,0,0
Maharashtra,RTO SOLAPUR - MH13,E2W,REVOLT INTELLICORP PVT LTD,27,17,77,33,31,37,40,43,29,26,70
Maharashtra,RTO SOLAPUR - MH13,E2W,SIMPLEENERGY PVT LTD,0,0,0,0,0,0,1,0,0,0,1
Maharashtra,RTO SOLAPUR - MH13,E2W,SMAP VEHICLES (IMPORTER: ELEGO MOTORS),0,0,0,1,0,0,0,0,0,0,0
Maharashtra,RTO SOLAPUR - MH13,E2W,TVS MOTOR COMPANY LTD,123,102,221,130,114,123,123,115,132,219,191
Maharashtra,RTO SOLAPUR - MH13,E2W,ULTRAVIOLETTE AUTOMOTIVE PVT LTD,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,RTO SOLAPUR - MH13,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,6,3,3,3,3,5,0,1,0,1,1
Maharashtra,RTO SOLAPUR - MH13,E2W,WUXI JIYAYI (IMPORTER: IZANAU ELECTRIC LLP),0,0,0,0,1,1,0,0,0,0,0
Maharashtra,RTO SOLAPUR - MH13,E2W,WUXI TENGHUI (IMPORTER: SEEKA E MOTORS),0,0,0,0,0,0,0,0,0,0,1
Maharashtra,RTO SOLAPUR - MH13,E2W,ZAP (HK) (IMPORTER: IZANAU ELECTRIC),0,0,0,1,0,0,0,0,0,0,0
