State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Maharashtra,VASHI (NEW MUMBAI) - MH43,E2W,ATHER ENERGY LTD,35,34,36,40,64,57,44,61,79,110,110
Maharashtra,VASHI (NEW MUMBAI) - MH43,E2W,BAJAJ AUTO LTD,117,93,221,79,91,100,84,98,78,122,129
Maharashtra,VASHI (NEW MUMBAI) - MH43,E2W,BATTRE ELECTRIC MOBLITY PVT LTD,1,0,2,0,2,1,1,3,1,0,0
Maharashtra,VASHI (NEW MUMBAI) - MH43,E2W,BGAUSS AUTO PRIVATE LIMITED,4,3,3,3,2,0,0,0,0,1,0
Maharashtra,VASHI (NEW MUMBAI) - MH43,E2W,ELECTRIC ALLIANCE(IMPORTER: ELLYSIUM AUTOMOTIVES),0,0,0,0,0,0,0,0,0,1,0
Maharashtra,VASHI (NEW MUMBAI) - MH43,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,3,6,13,11,2,9,3,7,3,13,11
Maharashtra,VASHI (NEW MUMBAI) - MH43,E2W,HERO ELECTRIC VEHICLES PVT. LTD,0,0,1,0,0,1,0,0,0,0,0
Maharashtra,VASHI (NEW MUMBAI) - MH43,E2W,HERO MOTOCORP LTD,2,6,20,15,17,19,20,47,22,38,31
Maharashtra,VASHI (NEW MUMBAI) - MH43,E2W,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,0,0,0,4,4,3,4,6,8,5,2
Maharashtra,VASHI (NEW MUMBAI) - MH43,E2W,IVOOMI INNOVATION PVT LTD,0,0,1,0,0,0,0,0,0,0,0
Maharashtra,VASHI (NEW MUMBAI) - MH43,E2W,JIANGSU XINRI (IMPORTER: ECO FUEL SYSTEMS LTD),0,0,0,0,0,3,0,0,0,1,1
Maharashtra,VASHI (NEW MUMBAI) - MH43,E2W,JITENDRA NEW EV-TECH PVT. LTD,4,3,6,6,3,0,2,2,2,3,7
Maharashtra,VASHI (NEW MUMBAI) - MH43,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,1,1,0,0,1,1,0,0,0,0,0
Maharashtra,VASHI (NEW MUMBAI) - MH43,E2W,KLB KOMAKI PVT LTD,2,1,0,0,0,0,0,0,0,0,0
Maharashtra,VASHI (NEW MUMBAI) - MH43,E2W,MATTER MOTOR WORKS PVT LTD,0,0,0,0,0,0,0,0,1,0,0
Maharashtra,VASHI (NEW MUMBAI) - MH43,E2W,OKINAWA AUTOTECH PVT LTD,0,0,0,2,2,0,0,0,0,0,0
Maharashtra,VASHI (NEW MUMBAI) - MH43,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,77,24,79,62,43,30,9,34,14,10,6
Maharashtra,VASHI (NEW MUMBAI) - MH43,E2W,PUR ENERGY PVT LTD,0,10,10,20,40,15,30,20,0,0,0
Maharashtra,VASHI (NEW MUMBAI) - MH43,E2W,REVOLT INTELLICORP PVT LTD,1,2,3,0,0,0,2,0,0,1,0
Maharashtra,VASHI (NEW MUMBAI) - MH43,E2W,RIVER MOBILITY PVT LTD,0,0,0,0,0,0,0,0,0,1,0
Maharashtra,VASHI (NEW MUMBAI) - MH43,E2W,SIMPLEENERGY PVT LTD,0,0,2,0,2,0,0,1,0,1,0
Maharashtra,VASHI (NEW MUMBAI) - MH43,E2W,TVS MOTOR COMPANY LTD,17,15,20,5,10,8,5,13,15,24,39
Maharashtra,VASHI (NEW MUMBAI) - MH43,E2W,ULTRAVIOLETTE AUTOMOTIVE PVT LTD,0,0,0,0,0,1,3,1,1,1,2
Maharashtra,VASHI (NEW MUMBAI) - MH43,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,1,1,0,3,2,0,1,0,0,0,2
Maharashtra,VASHI (NEW MUMBAI) - MH43,E2W,ZAP (HK) (IMPORTER: IZANAU ELECTRIC),0,0,0,0,0,0,0,0,0,0,0
