State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,AKBARPUR(AMBEDKAR NAGAR) - UP45,L3G,AAHANA COMMERCE PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,AKBARPUR(AMBEDKAR NAGAR) - UP45,L3G,AJAY MOTORS PRIVATE LIMITED,1,1,3,1,1,0,0,7,0,0,0
Uttar Pradesh,AKBARPUR(AMBEDKAR NAGAR) - UP45,L3G,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,0,2,2,1,0,5,0,0,0
Uttar Pradesh,AKBARPUR(AMBEDKAR NAGAR) - UP45,L3G,AMBIKA INDUSTRIES,4,0,1,5,0,1,0,11,0,0,0
Uttar Pradesh,AKBARPUR(AMBEDKAR NAGAR) - UP45,L3G,APM AUTO SALES,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,AKBARPUR(AMBEDKAR NAGAR) - UP45,L3G,ARCHIT ENTERPRISES,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,AKBARPUR(AMBEDKAR NAGAR) - UP45,L3G,ASHMA-MOTORS PVT LTD,0,0,0,1,0,1,0,2,0,0,0
Uttar Pradesh,AKBARPUR(AMBEDKAR NAGAR) - UP45,L3G,BHM INDUSTRIES,1,11,0,5,4,1,2,24,0,0,0
Uttar Pradesh,AKBARPUR(AMBEDKAR NAGAR) - UP45,L3G,BRIGHT AUTOZONE PVT LTD,0,3,1,1,1,2,0,8,0,0,0
Uttar Pradesh,AKBARPUR(AMBEDKAR NAGAR) - UP45,L3G,CHAMPION POLY PLAST,0,3,0,1,0,0,0,4,0,0,0
Uttar Pradesh,AKBARPUR(AMBEDKAR NAGAR) - UP45,L3G,DE EUSI MOTORS PVT LTD.,8,3,3,1,1,3,0,19,0,0,0
Uttar Pradesh,AKBARPUR(AMBEDKAR NAGAR) - UP45,L3G,DILLI ELECTRIC AUTO PVT LTD,6,2,1,4,4,1,0,18,0,0,0
Uttar Pradesh,AKBARPUR(AMBEDKAR NAGAR) - UP45,L3G,DUKE AUTO INDIA,0,1,1,3,0,2,0,7,0,0,0
Uttar Pradesh,AKBARPUR(AMBEDKAR NAGAR) - UP45,L3G,ELITE AUTO ENGINEERS PVT LTD,1,2,2,2,2,0,0,9,0,0,0
Uttar Pradesh,AKBARPUR(AMBEDKAR NAGAR) - UP45,L3G,ENERGY ELECTRIC VEHICLES,5,5,6,11,5,5,0,37,0,0,0
Uttar Pradesh,AKBARPUR(AMBEDKAR NAGAR) - UP45,L3G,EXTREME MOTORS,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,AKBARPUR(AMBEDKAR NAGAR) - UP45,L3G,GAGAN AUTOMOTIVES,0,0,0,6,1,0,0,7,0,0,0
Uttar Pradesh,AKBARPUR(AMBEDKAR NAGAR) - UP45,L3G,GREEN IMPEX,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,AKBARPUR(AMBEDKAR NAGAR) - UP45,L3G,HARSH TRADING CO,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,AKBARPUR(AMBEDKAR NAGAR) - UP45,L3G,HOP MOTORS PVT LTD,0,0,0,0,2,0,0,2,0,0,0
Uttar Pradesh,AKBARPUR(AMBEDKAR NAGAR) - UP45,L3G,HOTAGE INDIA,0,1,2,0,0,0,0,3,0,0,0
Uttar Pradesh,AKBARPUR(AMBEDKAR NAGAR) - UP45,L3G,INS AUTOMOBILES PVT LTD,0,0,0,0,1,2,0,3,0,0,0
Uttar Pradesh,AKBARPUR(AMBEDKAR NAGAR) - UP45,L3G,JMT VEHICLES PVT LTD,2,1,4,7,6,0,0,20,0,0,0
Uttar Pradesh,AKBARPUR(AMBEDKAR NAGAR) - UP45,L3G,J. S. AUTO (P) LTD,2,2,3,10,6,4,0,27,0,0,0
Uttar Pradesh,AKBARPUR(AMBEDKAR NAGAR) - UP45,L3G,JS MOBILEON PVT LTD,0,9,0,0,2,0,0,11,0,0,0
Uttar Pradesh,AKBARPUR(AMBEDKAR NAGAR) - UP45,L3G,KGN,0,0,0,0,4,1,0,5,0,0,0
Uttar Pradesh,AKBARPUR(AMBEDKAR NAGAR) - UP45,L3G,KHALSAE-VEHICLES PVT LTD,2,0,0,1,3,2,0,8,0,0,0
Uttar Pradesh,AKBARPUR(AMBEDKAR NAGAR) - UP45,L3G,LECTRIX E VEHICLES PVT LTD,1,2,0,2,1,1,0,7,0,0,0
