State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,ALIGARH RTO - UP81,ICE,ADISHWAR AUTO RIDE INDIA PVT LTD,0,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,ICE,BAJAJ AUTO LTD,352,291,256,341,311,288,276,274,168,402,764,197
Uttar Pradesh,ALIGARH RTO - UP81,ICE,BMW INDIA PVT LTD,1,2,1,1,1,3,0,1,1,0,1,0
Uttar Pradesh,ALIGARH RTO - UP81,ICE,CLASSIC LEGENDS PVT LTD,9,4,6,4,4,1,6,5,7,14,8,5
Uttar Pradesh,ALIGARH RTO - UP81,ICE,HERO MOTOCORP LTD,"1,933","1,583","1,909","1,877","1,609","1,596","1,875","1,455",971,"2,369","4,690",847
Uttar Pradesh,ALIGARH RTO - UP81,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,"1,017",766,590,"1,058","1,016",795,829,891,759,"1,526","2,235",485
Uttar Pradesh,ALIGARH RTO - UP81,ICE,INDIA KAWASAKI MOTORS PVT LTD,0,0,1,0,0,0,0,0,0,1,1,0
Uttar Pradesh,ALIGARH RTO - UP81,ICE,INDIA YAMAHA MOTOR PVT LTD,43,29,44,60,49,24,51,28,33,46,77,18
Uttar Pradesh,ALIGARH RTO - UP81,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),281,266,234,254,189,150,167,137,112,379,515,116
Uttar Pradesh,ALIGARH RTO - UP81,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,1,3,3,1,2,1,1,4,1,4,4,0
Uttar Pradesh,ALIGARH RTO - UP81,ICE,TVS MOTOR COMPANY LTD,751,934,783,914,772,648,860,766,613,"1,000","2,094",581
