State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,ALIGARH RTO - UP81,L3G,A K GUPTA & CO.,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3G,ATTOLENT AUTO GROUP PVT LTD,5,1,0,1,5,1,0,3,2,1,2,0
Uttar Pradesh,ALIGARH RTO - UP81,L3G,A.V.AUTOMOTIVES PVT LTD,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3G,AVL ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3G,AVON CYCLES LTD,1,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3G,BABA E-VEHICLES,0,0,0,0,0,0,0,0,0,0,1,1
Uttar Pradesh,ALIGARH RTO - UP81,L3G,BADSHAH ENTERPRISES,0,0,0,0,0,0,0,0,0,2,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3G,BEST WAY AGENCIES PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,ALIGARH RTO - UP81,L3G,ECO-FRIENDLY ELECTRIC VEHICLE PVT LTD,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3G,ENERGY ELECTRIC VEHICLES,1,0,1,1,1,0,1,1,1,2,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3G,G & G AUTOMOTIVE,0,2,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3G,J. S. AUTO (P) LTD,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,ALIGARH RTO - UP81,L3G,KHALSAE-VEHICLES PVT LTD,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3G,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,0,0,2,0,0,0,0,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3G,LAKSHYA AUTO SALES CORPORATION,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3G,MAHAK TEEN UDYOG,0,0,0,0,0,0,0,1,3,1,3,5
Uttar Pradesh,ALIGARH RTO - UP81,L3G,MAHINDRA LAST MILE MOBILITY LTD,3,5,1,1,0,0,0,2,2,2,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3G,MINI METRO EV L.L.P,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3G,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,ALIGARH RTO - UP81,L3G,RANA ENGINEER WORKS,0,0,0,0,1,0,1,0,0,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3G,RUTBA PRODUCT PVT LTD,0,1,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3G,SAERA ELECTRIC AUTO PVT LTD,0,0,0,0,0,0,0,0,1,0,1,0
Uttar Pradesh,ALIGARH RTO - UP81,L3G,SAHNIANAND E VEHICLES PVT LTD,0,0,1,0,1,0,0,1,0,2,1,0
Uttar Pradesh,ALIGARH RTO - UP81,L3G,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3G,SHINME ELECTRICAL VEHICLE PVT LTD,0,1,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3G,SHREE MARUTI NANDAN BUSINESSS (P) LTD,9,16,12,6,1,2,2,2,2,3,3,0
Uttar Pradesh,ALIGARH RTO - UP81,L3G,SHRI BARSANA E-VEHICLES PVT LTD,1,1,2,3,0,2,0,3,0,2,3,1
Uttar Pradesh,ALIGARH RTO - UP81,L3G,SKS TRADE INDIA PVT LTD,0,0,0,1,0,1,0,0,0,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3G,SSEV ENTERPRISES PRIVATE LIMITED,0,0,1,0,0,0,0,1,0,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3G,STAR BULL E MOTORS,4,8,8,3,6,6,3,0,0,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3G,UNIQUE INTERNATIONAL,1,0,0,2,0,0,0,0,1,0,0,1
Uttar Pradesh,ALIGARH RTO - UP81,L3G,YC ELECTRIC VEHICLE,0,0,0,1,0,0,0,0,0,0,0,0
