State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,ALIGARH RTO - UP81,L5P,BAJAJ AUTO LTD,0,0,0,1,28,18,30,38,49,73,59,25
Uttar Pradesh,ALIGARH RTO - UP81,L5P,BEST WAY AGENCIES PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,ALIGARH RTO - UP81,L5P,CHAMPION POLY PLAST,2,0,0,1,0,0,1,0,0,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L5P,EVCO AUTOMOBILES PVT LTD,0,0,0,0,0,4,2,5,3,1,1,0
Uttar Pradesh,ALIGARH RTO - UP81,L5P,MAHINDRA LAST MILE MOBILITY LTD,6,8,26,8,44,30,44,41,45,94,57,30
Uttar Pradesh,ALIGARH RTO - UP81,L5P,MAHINDRA & MAHINDRA LIMITED,1,1,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L5P,MLR AUTO LTD,0,0,0,0,0,0,0,0,0,4,2,3
Uttar Pradesh,ALIGARH RTO - UP81,L5P,OMEGA SEIKI PVT LTD,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L5P,PIAGGIO VEHICLES PVT LTD,51,53,48,10,23,13,39,31,11,21,25,32
Uttar Pradesh,ALIGARH RTO - UP81,L5P,THUKRAL ELECTRIC BIKES PVT LTD,0,0,0,0,0,0,0,0,0,0,0,2
Uttar Pradesh,ALIGARH RTO - UP81,L5P,TI CLEAN MOBILITY PVT LTD,0,0,0,0,0,3,15,18,12,20,13,14
Uttar Pradesh,ALIGARH RTO - UP81,L5P,TVS MOTOR COMPANY LTD,3,1,1,3,0,1,0,0,0,0,0,0
