State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,ALIGARH RTO - UP81,L3P,AJAY MOTORS PRIVATE LIMITED,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,A K GUPTA & CO.,6,4,3,2,7,4,0,26,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,1,0,0,1,6,0,0,8,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,A N ENTERPRISES,0,0,0,2,2,3,0,7,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,A.R. MOTOR,1,1,0,0,0,0,0,2,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,ATTOLENT AUTO GROUP PVT LTD,1,0,4,3,5,2,0,15,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,A.V.AUTOMOTIVES PVT LTD,3,0,1,0,1,1,0,6,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,AVL ELECTRIC VEHICLES PVT LTD,1,1,1,0,0,0,0,3,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,B24 ROKET EV,1,2,0,1,0,0,0,4,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,BADSHAH ENTERPRISES,3,2,1,4,4,1,0,15,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,BEST WAY AGENCIES PVT LTD,1,4,0,0,0,2,0,7,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,CARREE YUNUS VEHICLE PVT LTD,1,2,3,2,15,10,0,33,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,CHAMPION POLY PLAST,2,0,1,0,0,0,0,3,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,CONTINENTAL ENGINES PVT LTD,0,0,2,0,0,0,0,2,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,DAKSH INDUSTRIES,0,0,3,2,4,4,0,13,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,DEV MOTORS,0,1,1,1,0,0,0,3,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,DILLI ELECTRIC AUTO PVT LTD,0,0,0,1,0,1,0,2,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,DUKE AUTO INDIA,0,1,0,0,2,0,0,3,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,ECO-FRIENDLY ELECTRIC VEHICLE PVT LTD,1,1,0,0,2,0,0,4,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,ELITE AUTO ENGINEERS PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,ENERGY ELECTRIC VEHICLES,12,7,4,10,16,8,1,58,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,EVCO AUTOMOBILES PVT LTD,4,1,0,4,0,2,0,11,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,GAGAN AUTOMOTIVES,4,5,0,2,3,3,0,17,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,GAYATRI ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,2,0,2,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,GKON ELECTRIC MOTOR VEHICLES PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,GRD MOTORS,39,25,18,28,21,34,8,173,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,GREENFIT INDUSTRIES LLP,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,GREEN IMPEX,0,4,4,1,14,0,0,23,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,GREEN TECHNOLOGIES,4,1,0,0,2,2,0,9,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,HANUMAN UDYOG,3,7,3,2,2,0,0,17,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,HOTAGE INDIA,1,0,0,0,1,1,0,3,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,J. S. AUTO (P) LTD,3,5,0,1,6,1,0,16,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,JS MOBILEON PVT LTD,0,1,0,2,5,5,0,13,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,KABMAX ELECTRIC AUTOMOBILES PVT. LTD,1,0,3,1,0,1,0,6,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,KAPTECH INDIA PVT LTD,3,2,0,2,2,0,0,9,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,KGN INDUSTRIES,20,22,10,20,18,8,1,99,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,KHALSAE-VEHICLES PVT LTD,2,2,2,1,0,1,0,8,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,0,0,1,1,0,2,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,KR E-VEHICLE PVT LTD,0,0,2,0,2,0,0,4,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,MAA SHAKTI EXIM PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,MAHAK TEEN UDYOG,29,25,12,11,22,12,0,111,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,MAHINDRA LAST MILE MOBILITY LTD,9,4,8,3,13,8,0,45,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,MAHTAB BODY MAKER,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,MANIRAM ELECTRIC VEHICLE PVT LTD,17,15,13,5,12,12,0,74,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,MANITA CITY MOTORS LLP,2,2,5,5,5,2,0,21,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,MILLENNIAL MOTORS LLP,0,0,4,1,0,0,0,5,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,MINI METRO EV L.L.P,0,1,1,0,3,0,0,5,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,MOMU AUTOMOTIVE,2,0,0,0,0,0,0,2,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,M/S SHRIRAM AUTO TECH PVT LTD,0,1,1,0,0,0,0,2,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,3,9,6,6,4,3,0,31,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,NEW CHAWLA INDUSTRIES,0,1,0,1,0,0,0,2,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,OKAYA POWER PVT LTD,0,0,2,0,1,0,0,3,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,1,1,2,0,3,7,0,14,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,OM INDUSTRIES,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,PARAS INDUSTRIES,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,PARI E-VEHICLES,15,9,8,6,11,1,0,50,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,PRAJJWAL MAHAJAN TRADERS,1,5,7,2,1,4,0,20,0,0,0
Uttar Pradesh,ALIGARH RTO - UP81,L3P,RANA ENGINEER WORKS,0,4,0,1,4,0,0,9,0,0,0
