State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,ARTO OFFICE RAMPUR - UP22,L3G,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,ARTO OFFICE RAMPUR - UP22,L3G,ATTOLENT AUTO GROUP PVT LTD,0,2,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,ARTO OFFICE RAMPUR - UP22,L3G,INDIAN MOTORS,0,0,0,0,0,0,1,1,3,1,1,0
Uttar Pradesh,ARTO OFFICE RAMPUR - UP22,L3G,KGN,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,ARTO OFFICE RAMPUR - UP22,L3G,SSEV ENTERPRISES PRIVATE LIMITED,4,0,1,0,2,2,1,2,0,1,2,2
Uttar Pradesh,ARTO OFFICE RAMPUR - UP22,L3G,THUKRAL ELECTRIC BIKES PVT LTD,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,ARTO OFFICE RAMPUR - UP22,L3G,T U K INDUSTRIES,1,1,0,1,0,0,2,0,1,0,0,0
Uttar Pradesh,ARTO OFFICE RAMPUR - UP22,L3G,UMA MOTORS,1,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,ARTO OFFICE RAMPUR - UP22,L3G,UNIQUE INTERNATIONAL,0,0,1,0,1,0,1,0,0,0,0,0
Uttar Pradesh,ARTO OFFICE RAMPUR - UP22,L3G,YC ELECTRIC VEHICLE,1,1,0,1,0,0,0,1,0,0,0,1
