State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,ARTO OFFICE RAMPUR - UP22,L3P,ALIED E MOBILITY PVT LTD,7,11,1,24,35,27,1,106,0,0,0
Uttar Pradesh,ARTO OFFICE RAMPUR - UP22,L3P,AVL ELECTRIC VEHICLES PVT LTD,0,0,23,10,9,14,0,56,0,0,0
Uttar Pradesh,ARTO OFFICE RAMPUR - UP22,L3P,BRIGHT SAFAR,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,ARTO OFFICE RAMPUR - UP22,L3P,CHEHAK BATTERIES,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,ARTO OFFICE RAMPUR - UP22,L3P,DAKSH INDUSTRIES,0,0,0,2,7,2,0,11,0,0,0
Uttar Pradesh,ARTO OFFICE RAMPUR - UP22,L3P,DEV MOTORS,0,0,0,0,4,0,0,4,0,0,0
Uttar Pradesh,ARTO OFFICE RAMPUR - UP22,L3P,DIAMOND E VEHICLES,1,1,2,22,25,21,0,72,0,0,0
Uttar Pradesh,ARTO OFFICE RAMPUR - UP22,L3P,DILLI ELECTRIC AUTO PVT LTD,0,0,0,0,7,2,0,9,0,0,0
Uttar Pradesh,ARTO OFFICE RAMPUR - UP22,L3P,ENERGY ELECTRIC VEHICLES,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,ARTO OFFICE RAMPUR - UP22,L3P,G. M. VEHICLE INDUSTRIES,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,ARTO OFFICE RAMPUR - UP22,L3P,GRD MOTORS,0,0,1,0,0,4,0,5,0,0,0
Uttar Pradesh,ARTO OFFICE RAMPUR - UP22,L3P,GREENFIT INDUSTRIES LLP,1,0,0,7,7,8,0,23,0,0,0
Uttar Pradesh,ARTO OFFICE RAMPUR - UP22,L3P,HANUMAN UDYOG,0,0,0,0,3,1,0,4,0,0,0
Uttar Pradesh,ARTO OFFICE RAMPUR - UP22,L3P,HOTAGE INDIA,7,2,0,19,8,12,0,48,0,0,0
Uttar Pradesh,ARTO OFFICE RAMPUR - UP22,L3P,INDIAN MOTORS,1,1,12,36,34,11,0,95,0,0,0
Uttar Pradesh,ARTO OFFICE RAMPUR - UP22,L3P,J.H.A TRADING COMPANY,0,0,0,4,1,5,0,10,0,0,0
