State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,AYODHYA RTO - UP42,E2W,BAJAJ AUTO LTD,0,1,0,0,1,3,1,5,10,16,43,24
Uttar Pradesh,AYODHYA RTO - UP42,E2W,BGAUSS AUTO PRIVATE LIMITED,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,AYODHYA RTO - UP42,E2W,EVTRIC MOTORS PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,AYODHYA RTO - UP42,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,2,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,AYODHYA RTO - UP42,E2W,HERO ELECTRIC VEHICLES PVT. LTD,0,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,AYODHYA RTO - UP42,E2W,HERO MOTOCORP LTD,0,0,0,0,0,0,0,1,0,0,2,0
Uttar Pradesh,AYODHYA RTO - UP42,E2W,HOP ELECTRIC MOBILITY PVT LTD,0,0,0,0,1,0,0,2,0,0,0,0
Uttar Pradesh,AYODHYA RTO - UP42,E2W,KLB KOMAKI PVT LTD,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,AYODHYA RTO - UP42,E2W,OKAYA EV PVT LTD,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,AYODHYA RTO - UP42,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,29,32,46,39,43,73,66,63,46,86,54,31
Uttar Pradesh,AYODHYA RTO - UP42,E2W,REVOLT INTELLICORP PVT LTD,0,0,0,0,0,1,2,0,0,0,0,0
Uttar Pradesh,AYODHYA RTO - UP42,E2W,TVS MOTOR COMPANY LTD,0,1,4,0,5,1,2,7,5,14,18,14
Uttar Pradesh,AYODHYA RTO - UP42,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,12,1,8,5,6,9,10,1,8,0,4,4
