State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Agra RTO - UP80,ICE,BAJAJ AUTO LTD,952,"1,164",863,"1,428",850,667,701,562,462,"1,084","2,383",674
Uttar Pradesh,Agra RTO - UP80,ICE,BMW INDIA PVT LTD,2,3,4,2,1,4,1,1,1,2,1,0
Uttar Pradesh,Agra RTO - UP80,ICE,CLASSIC LEGENDS PVT LTD,6,6,6,10,6,3,2,3,6,6,16,7
Uttar Pradesh,Agra RTO - UP80,ICE,GUANGDONG TAYO (IMPORTER: ADISHWAR AUTO),0,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,Agra RTO - UP80,ICE,HERO MOTOCORP LTD,"2,316","2,498","2,229","3,393","2,209","1,777","2,183","1,612","1,397","3,001","6,056","2,144"
Uttar Pradesh,Agra RTO - UP80,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,"1,391","1,320","1,147","1,553","1,531","1,180","1,361","1,130","1,163","1,195","3,606","1,369"
Uttar Pradesh,Agra RTO - UP80,ICE,INDIA KAWASAKI MOTORS PVT LTD,3,1,0,1,1,0,1,0,1,1,0,0
Uttar Pradesh,Agra RTO - UP80,ICE,INDIA YAMAHA MOTOR PVT LTD,40,63,37,60,48,42,37,22,41,40,152,32
Uttar Pradesh,Agra RTO - UP80,ICE,PIAGGIO VEHICLES PVT LTD,0,0,0,0,0,1,1,0,0,1,0,1
Uttar Pradesh,Agra RTO - UP80,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),354,336,262,390,192,181,201,168,168,455,625,147
Uttar Pradesh,Agra RTO - UP80,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,38,48,25,86,63,50,44,49,28,44,125,29
Uttar Pradesh,Agra RTO - UP80,ICE,TRIUMPH MOTORCYCLES (INDIA) PVT LTD,0,0,0,0,0,1,0,0,1,1,0,0
Uttar Pradesh,Agra RTO - UP80,ICE,TVS MOTOR COMPANY LTD,"1,107","1,017",839,"1,242",967,776,887,684,598,"1,001","2,179",840
