State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Agra RTO - UP80,L5P,BAJAJ AUTO LTD,323,21,141,96,196,188,255,204,292,374,319,128
Uttar Pradesh,Agra RTO - UP80,L5P,CHAMPION POLY PLAST,3,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,Agra RTO - UP80,L5P,EULER MOTORS PVT LTD,0,0,0,0,0,0,1,1,0,0,1,0
Uttar Pradesh,Agra RTO - UP80,L5P,GODAWARI ELECTRIC MOTORS PVT LTD,0,0,0,0,0,0,0,0,1,0,1,0
Uttar Pradesh,Agra RTO - UP80,L5P,MAHINDRA ELECTRIC MOBILITY LIMITED,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,Agra RTO - UP80,L5P,MAHINDRA LAST MILE MOBILITY LTD,8,0,3,8,33,18,43,39,50,60,63,50
Uttar Pradesh,Agra RTO - UP80,L5P,MAHINDRA & MAHINDRA LIMITED,4,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Agra RTO - UP80,L5P,MLR AUTO LTD,0,0,0,0,4,3,4,2,1,3,0,3
Uttar Pradesh,Agra RTO - UP80,L5P,OMEGA SEIKI PVT LTD,0,0,1,1,2,0,4,2,2,1,1,0
Uttar Pradesh,Agra RTO - UP80,L5P,PIAGGIO VEHICLES PVT LTD,165,23,65,29,85,72,148,99,99,134,205,61
Uttar Pradesh,Agra RTO - UP80,L5P,THUKRAL ELECTRIC BIKES PVT LTD,0,0,0,0,0,0,2,0,0,1,0,2
Uttar Pradesh,Agra RTO - UP80,L5P,TI CLEAN MOBILITY PVT LTD,18,1,9,5,5,8,10,8,18,12,18,9
Uttar Pradesh,Agra RTO - UP80,L5P,TVS MOTOR COMPANY LTD,18,0,0,0,0,3,24,20,10,8,20,6
Uttar Pradesh,Agra RTO - UP80,L5P,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,6,0,0,0,0,0,0,0,0,0,0,0
