State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Agra RTO - UP80,ICE,BAJAJ AUTO LTD,"1,048","1,083",815,"1,367",955,619,13,"5,900",0,0,0
Uttar Pradesh,Agra RTO - UP80,ICE,BMW INDIA PVT LTD,0,1,5,0,1,1,0,8,0,0,0
Uttar Pradesh,Agra RTO - UP80,ICE,CLASSIC LEGENDS PVT LTD,6,0,18,4,4,3,0,35,0,0,0
Uttar Pradesh,Agra RTO - UP80,ICE,HERO MOTOCORP LTD,"2,142","2,301","2,245","3,307","2,416","2,015",15,"14,441",0,0,0
Uttar Pradesh,Agra RTO - UP80,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,"1,342","1,171","1,132","1,504","1,412",946,61,"7,568",0,0,0
Uttar Pradesh,Agra RTO - UP80,ICE,INDIA KAWASAKI MOTORS PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Agra RTO - UP80,ICE,INDIA YAMAHA MOTOR PVT LTD,32,43,39,82,49,46,0,291,0,0,0
Uttar Pradesh,Agra RTO - UP80,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),422,355,375,425,277,203,8,"2,065",0,0,0
Uttar Pradesh,Agra RTO - UP80,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,53,39,77,65,41,39,0,314,0,0,0
Uttar Pradesh,Agra RTO - UP80,ICE,TVS MOTOR COMPANY LTD,"1,101","1,023",883,"1,223","1,055",826,37,"6,148",0,0,0
