State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Azamgarh RTO - UP50,L3P,AARON INDUSTRIES,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Azamgarh RTO - UP50,L3P,ADM TECHNOLOGIES PVT. LTD.,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Azamgarh RTO - UP50,L3P,ALLFINE INDUSTRIES PVT LTD,2,1,2,2,1,1,0,9,0,0,0
Uttar Pradesh,Azamgarh RTO - UP50,L3P,AMBIKA INDUSTRIES,1,2,0,0,0,0,0,3,0,0,0
Uttar Pradesh,Azamgarh RTO - UP50,L3P,ARROW AUTOMOTIVE,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,Azamgarh RTO - UP50,L3P,ASHMA-MOTORS PVT LTD,3,1,0,2,0,0,0,6,0,0,0
Uttar Pradesh,Azamgarh RTO - UP50,L3P,ATUL AUTO LTD,1,3,1,0,0,1,0,6,0,0,0
Uttar Pradesh,Azamgarh RTO - UP50,L3P,ATUT SANGAM,0,1,0,1,1,1,0,4,0,0,0
Uttar Pradesh,Azamgarh RTO - UP50,L3P,AVL ELECTRIC VEHICLES PVT LTD,3,2,0,4,1,1,0,11,0,0,0
Uttar Pradesh,Azamgarh RTO - UP50,L3P,BALI AUTO INDUSTRIES,2,1,2,0,0,0,0,5,0,0,0
Uttar Pradesh,Azamgarh RTO - UP50,L3P,BAXY LTD,2,3,3,1,13,0,0,22,0,0,0
Uttar Pradesh,Azamgarh RTO - UP50,L3P,BEST WAY AGENCIES PVT LTD,3,3,4,0,7,4,0,21,0,0,0
Uttar Pradesh,Azamgarh RTO - UP50,L3P,BHM INDUSTRIES,15,16,16,11,12,9,0,79,0,0,0
Uttar Pradesh,Azamgarh RTO - UP50,L3P,CHAMPION POLY PLAST,2,1,0,3,0,0,0,6,0,0,0
Uttar Pradesh,Azamgarh RTO - UP50,L3P,DE EUSI MOTORS PVT LTD.,1,1,0,0,0,0,0,2,0,0,0
Uttar Pradesh,Azamgarh RTO - UP50,L3P,DELTA AUTOCORP LTD,2,0,1,4,5,0,0,12,0,0,0
Uttar Pradesh,Azamgarh RTO - UP50,L3P,DILLI ELECTRIC AUTO PVT LTD,4,0,0,10,0,0,0,14,0,0,0
Uttar Pradesh,Azamgarh RTO - UP50,L3P,DUKE AUTO INDIA,0,0,0,0,1,1,0,2,0,0,0
Uttar Pradesh,Azamgarh RTO - UP50,L3P,ELITE AUTO ENGINEERS PVT LTD,0,0,0,0,2,0,0,2,0,0,0
Uttar Pradesh,Azamgarh RTO - UP50,L3P,ENERGY ELECTRIC VEHICLES,6,4,13,5,9,9,0,46,0,0,0
Uttar Pradesh,Azamgarh RTO - UP50,L3P,FIRST CHOICE ELECTRIC VEHICLES PVT LTD,0,0,2,0,7,6,0,15,0,0,0
Uttar Pradesh,Azamgarh RTO - UP50,L3P,GAGAN AUTOMOTIVES,3,2,3,1,0,0,0,9,0,0,0
Uttar Pradesh,Azamgarh RTO - UP50,L3P,G.K. RICKSHAW PVT LTD,0,0,2,2,0,0,0,4,0,0,0
Uttar Pradesh,Azamgarh RTO - UP50,L3P,G. M. VEHICLE INDUSTRIES,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,Azamgarh RTO - UP50,L3P,GRD MOTORS,2,0,1,3,0,2,0,8,0,0,0
Uttar Pradesh,Azamgarh RTO - UP50,L3P,GREEN IMPEX,0,1,4,4,3,1,0,13,0,0,0
Uttar Pradesh,Azamgarh RTO - UP50,L3P,HARSH TRADING CO,0,0,6,8,4,5,0,23,0,0,0
Uttar Pradesh,Azamgarh RTO - UP50,L3P,HOTAGE INDIA,4,3,0,5,2,2,0,16,0,0,0
Uttar Pradesh,Azamgarh RTO - UP50,L3P,INDIAN MOTORS,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,Azamgarh RTO - UP50,L3P,INS AUTOMOBILES PVT LTD,56,57,46,31,32,35,11,268,0,0,0
Uttar Pradesh,Azamgarh RTO - UP50,L3P,INTERGLOBE ENERGY PVT LTD,3,5,4,3,1,3,0,19,0,0,0
Uttar Pradesh,Azamgarh RTO - UP50,L3P,JMT VEHICLES PVT LTD,0,1,1,0,0,0,0,2,0,0,0
Uttar Pradesh,Azamgarh RTO - UP50,L3P,J. S. AUTO (P) LTD,3,4,6,2,1,1,0,17,0,0,0
Uttar Pradesh,Azamgarh RTO - UP50,L3P,KAIZER ELECTRIC VEHICLES,0,0,0,3,2,0,0,5,0,0,0
Uttar Pradesh,Azamgarh RTO - UP50,L3P,KATYAYANI AUTOMOTIVE,0,0,0,3,0,0,0,3,0,0,0
Uttar Pradesh,Azamgarh RTO - UP50,L3P,KHALSAE-VEHICLES PVT LTD,6,2,4,3,5,3,0,23,0,0,0
Uttar Pradesh,Azamgarh RTO - UP50,L3P,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,0,1,1,0,0,2,0,0,0
