State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,BAREILLY - UP25,L3G,ALLFINE INDUSTRIES PVT LTD,0,0,2,0,0,0,1,1,0,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,0,2,0
Uttar Pradesh,BAREILLY - UP25,L3G,A.R. MOTOR,0,0,0,2,0,0,0,0,0,1,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,ATUT SANGAM,0,0,0,0,1,1,0,1,0,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,AVL ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,2,0,0,1
Uttar Pradesh,BAREILLY - UP25,L3G,AVON CYCLES LTD,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,B24 ROKET EV,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,BRIGHT AUTOZONE PVT LTD,0,0,0,0,0,11,0,0,0,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,DILLI ELECTRIC AUTO PVT LTD,1,0,1,2,3,2,1,2,0,1,2,0
Uttar Pradesh,BAREILLY - UP25,L3G,DIVYA ENTERPRISES,0,2,0,2,0,0,0,0,3,0,0,5
Uttar Pradesh,BAREILLY - UP25,L3G,ENERGY ELECTRIC VEHICLES,0,0,0,1,1,1,1,0,1,2,3,2
Uttar Pradesh,BAREILLY - UP25,L3G,HUNDAL INDUSTRIES,0,1,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,INDIAN MOTORS,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,JAL ENTERPRISES,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,BAREILLY - UP25,L3G,KAPTECH INDIA PVT LTD,0,0,2,0,0,0,0,2,0,0,2,1
Uttar Pradesh,BAREILLY - UP25,L3G,KHALSAE-VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,1,0,1
Uttar Pradesh,BAREILLY - UP25,L3G,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,6,0,4,0,0,0,0,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,MAC AUTO INDIA,0,0,0,0,100,0,0,0,0,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,MAHINDRA & MAHINDRA LIMITED,0,1,0,0,1,0,0,0,1,0,0,1
Uttar Pradesh,BAREILLY - UP25,L3G,M/S SHRIRAM AUTO TECH PVT LTD,0,0,0,0,0,0,0,0,0,0,2,0
Uttar Pradesh,BAREILLY - UP25,L3G,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,0,0,0,0,1,0,1,0,0,1,1,0
Uttar Pradesh,BAREILLY - UP25,L3G,NEUON MOTORS LLP,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,BAREILLY - UP25,L3G,REPUBLIC MOTORS,0,0,0,0,1,1,0,0,1,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,SKS TRADE INDIA PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,BAREILLY - UP25,L3G,SSEV ENTERPRISES PRIVATE LIMITED,1,0,1,0,0,0,1,0,0,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,SUDHRAJ ELECTRIC MOBILITY PVT. LTD.,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,T U K INDUSTRIES,1,2,0,0,2,1,0,2,2,0,3,1
Uttar Pradesh,BAREILLY - UP25,L3G,UMA MOTORS,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,UNIQUE AUTO ELECTRIC,0,0,0,0,0,1,0,2,1,1,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,UNIQUE INTERNATIONAL,0,1,1,1,3,0,0,0,1,4,5,2
Uttar Pradesh,BAREILLY - UP25,L3G,U.P. TELELINKS LIMITED,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,VRINDA ENTERPRISES,0,3,2,2,3,2,0,0,1,0,0,1
Uttar Pradesh,BAREILLY - UP25,L3G,YC ELECTRIC VEHICLE,0,0,0,2,3,1,0,1,0,2,0,1
