State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,BAREILLY - UP25,L3P,ADITYA SAI INDUSTRIES,0,3,0,0,2,0,0,1,3,2,0,0
Uttar Pradesh,BAREILLY - UP25,L3P,AKG INTERNATIONAL,0,0,3,0,0,1,0,0,0,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3P,ALIED E MOBILITY PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,BAREILLY - UP25,L3P,ALLENTTI MOTORS PVT LTD,0,0,0,0,0,0,0,2,2,1,0,0
Uttar Pradesh,BAREILLY - UP25,L3P,ALLFINE INDUSTRIES PVT LTD,20,19,16,21,26,26,33,37,32,9,4,0
Uttar Pradesh,BAREILLY - UP25,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,0,2,2,0,3,0,0,0,0,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3P,AMAN AUTOMOBILES,1,3,1,1,1,0,0,2,0,0,1,0
Uttar Pradesh,BAREILLY - UP25,L3P,AMAN ELECTRIC VEHICLES,29,18,12,16,4,1,2,34,15,3,2,0
Uttar Pradesh,BAREILLY - UP25,L3P,ANJALI AUTO COMPONENTS,0,0,0,1,0,0,0,0,2,1,1,0
Uttar Pradesh,BAREILLY - UP25,L3P,APARNA INDUSTRIES,0,2,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3P,A.R. MOTOR,0,0,0,1,0,2,0,2,2,2,0,0
Uttar Pradesh,BAREILLY - UP25,L3P,ATUT SANGAM,0,0,1,1,0,0,0,0,0,0,2,0
Uttar Pradesh,BAREILLY - UP25,L3P,AVL ELECTRIC VEHICLES PVT LTD,13,10,35,0,14,15,18,29,59,48,2,30
Uttar Pradesh,BAREILLY - UP25,L3P,AVON CYCLES LTD,0,0,1,2,4,3,2,0,0,0,0,5
Uttar Pradesh,BAREILLY - UP25,L3P,B24 ROKET EV,0,0,2,0,0,0,1,0,6,0,0,1
