State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,BAREILLY - UP25,ICE,BAJAJ AUTO LTD,349,272,274,460,389,274,10,"2,028",0,0,0
Uttar Pradesh,BAREILLY - UP25,ICE,BMW INDIA PVT LTD,1,0,1,0,0,0,0,2,0,0,0
Uttar Pradesh,BAREILLY - UP25,ICE,CLASSIC LEGENDS PVT LTD,7,7,4,11,5,4,0,38,0,0,0
Uttar Pradesh,BAREILLY - UP25,ICE,DUCATI INDIA PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,BAREILLY - UP25,ICE,HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,BAREILLY - UP25,ICE,HERO MOTOCORP LTD,"2,561","2,276","2,555","5,451","3,685","2,569",34,"19,131",0,0,0
Uttar Pradesh,BAREILLY - UP25,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,650,518,577,862,643,499,52,"3,801",0,0,0
Uttar Pradesh,BAREILLY - UP25,ICE,INDIA KAWASAKI MOTORS PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,BAREILLY - UP25,ICE,INDIA YAMAHA MOTOR PVT LTD,48,38,29,46,47,31,1,240,0,0,0
Uttar Pradesh,BAREILLY - UP25,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),251,214,223,364,256,182,0,"1,490",0,0,0
Uttar Pradesh,BAREILLY - UP25,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,10,6,6,7,12,4,0,45,0,0,0
Uttar Pradesh,BAREILLY - UP25,ICE,TRIUMPH MOTORCYCLES (INDIA) PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,BAREILLY - UP25,ICE,TVS MOTOR COMPANY LTD,776,656,648,"1,232",909,764,41,"5,026",0,0,0
