State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,BAREILLY - UP25,L3G,ADITYA SAI INDUSTRIES,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,A K GUPTA & CO.,0,0,2,0,1,0,0,3,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,A.R. MOTOR,2,0,0,1,0,0,0,3,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,ATUT SANGAM,0,0,0,2,0,0,0,2,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,DILLI ELECTRIC AUTO PVT LTD,0,1,0,0,2,0,0,3,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,DIVYA ENTERPRISES,2,0,1,1,4,0,0,8,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,ELITE AUTO ENGINEERS PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,ENERGY ELECTRIC VEHICLES,3,2,1,2,2,0,0,10,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,GAGAN AUTOMOTIVES,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,INDIAN MOTORS,0,2,0,0,1,1,0,4,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,JAL ENTERPRISES,1,2,0,0,0,1,0,4,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,J. S. AUTO (P) LTD,0,1,3,1,5,0,0,10,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,KAPTECH INDIA PVT LTD,1,0,0,1,2,2,0,6,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,MAHINDRA LAST MILE MOBILITY LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,MAHINDRA & MAHINDRA LIMITED,0,1,1,0,0,2,0,4,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,MAHTAB BODY MAKER,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,MANITA CITY MOTORS LLP,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,MINI METRO EV L.L.P,1,0,0,1,0,0,0,2,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,M/S SHRIRAM AUTO TECH PVT LTD,2,0,1,1,3,0,0,7,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,0,3,3,8,2,5,0,21,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,NEUON MOTORS LLP,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,0,0,0,0,2,0,0,2,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,OM INDUSTRIES,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,PARI METRO E RICKSHAW,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,SKS TRADE INDIA PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,SUDHRAJ ELECTRIC MOBILITY PVT. LTD.,0,0,1,1,5,0,0,7,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,THUKRAL ELECTRIC BIKES PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,T U K INDUSTRIES,3,3,5,4,3,4,0,22,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,UNIQUE AUTO ELECTRIC,1,0,0,2,1,1,0,5,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,UNIQUE INTERNATIONAL,1,1,4,8,3,2,0,19,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,U.P. TELELINKS LIMITED,0,1,0,0,0,1,0,2,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,VIMAL UNIVERSAL TRADE PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,YC ELECTRIC VEHICLE,1,2,2,2,2,2,0,11,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,ZEOPLUS AXIS INDIA PVT. LTD.,0,1,0,1,0,0,0,2,0,0,0
Uttar Pradesh,BAREILLY - UP25,L3G,ZOHAN TRADERS AND BIG METRO,0,0,0,0,0,1,0,1,0,0,0
