State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,BASTI RTO - UP51,L3G,AKG INTERNATIONAL,0,0,1,0,1,0,0,1,0,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,ARNA ELECTRIC AUTO PVT LTD,2,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,CHAMPION POLY PLAST,0,0,0,2,1,0,1,0,0,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,DILLI ELECTRIC AUTO PVT LTD,0,0,0,0,0,0,0,2,0,0,2,0
Uttar Pradesh,BASTI RTO - UP51,L3G,ENERGY ELECTRIC VEHICLES,0,4,3,0,3,1,1,4,6,0,10,3
Uttar Pradesh,BASTI RTO - UP51,L3G,GREEN IMPEX,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,GREENWHEELS AUTOMOBILE PVT LTD,0,0,0,0,0,2,0,0,0,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,HOP MOTORS PVT LTD,0,0,1,0,0,0,1,0,0,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,HOTAGE INDIA,0,1,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,BASTI RTO - UP51,L3G,JITENDRA TEMPO PARTS,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,JMT VEHICLES PVT LTD,0,0,0,0,0,0,0,0,1,1,0,1
Uttar Pradesh,BASTI RTO - UP51,L3G,J. S. AUTO (P) LTD,4,3,5,5,2,2,2,3,2,8,5,3
Uttar Pradesh,BASTI RTO - UP51,L3G,KHALSAE-VEHICLES PVT LTD,0,0,2,2,0,0,0,3,0,0,0,1
Uttar Pradesh,BASTI RTO - UP51,L3G,LECTRIX E VEHICLES PVT LTD,0,1,1,0,0,0,1,0,0,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,MAA SHAKTI EXIM PVT LTD,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,MAHINDRA LAST MILE MOBILITY LTD,0,0,0,0,1,0,0,1,0,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,MANITA CITY MOTORS LLP,0,0,0,0,0,0,0,1,0,0,1,0
Uttar Pradesh,BASTI RTO - UP51,L3G,MINI METRO EV L.L.P,0,0,0,1,0,1,0,0,0,0,0,2
Uttar Pradesh,BASTI RTO - UP51,L3G,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,0,0,1,0,0,0,0,1,0,0,1,1
Uttar Pradesh,BASTI RTO - UP51,L3G,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,0,0,0,0,0,0,0,1,0,1,0,1
Uttar Pradesh,BASTI RTO - UP51,L3G,SAERA ELECTRIC AUTO PVT LTD,1,1,2,0,3,0,0,0,0,1,1,0
Uttar Pradesh,BASTI RTO - UP51,L3G,SAHNIANAND E VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,BASTI RTO - UP51,L3G,SHRI NAMO ELECTRIC AUTOMOTIVE,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,SKS TRADE INDIA PVT LTD,0,3,3,3,4,1,4,1,2,4,7,4
Uttar Pradesh,BASTI RTO - UP51,L3G,TERRA MOTORS INDIA PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,BASTI RTO - UP51,L3G,T U K INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,BASTI RTO - UP51,L3G,UNIQUE INTERNATIONAL,5,9,3,2,7,4,13,0,10,3,15,2
Uttar Pradesh,BASTI RTO - UP51,L3G,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,1,9,3,2,0,0,3,2,0,1,2,4
Uttar Pradesh,BASTI RTO - UP51,L3G,YC ELECTRIC VEHICLE,6,4,3,3,9,0,8,3,2,4,4,2
