State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,BASTI RTO - UP51,E2W,ATHER ENERGY LTD,0,0,0,0,0,2,0,2,0,0,0
Uttar Pradesh,BASTI RTO - UP51,E2W,BAJAJ AUTO LTD,11,5,13,2,5,8,0,44,0,0,0
Uttar Pradesh,BASTI RTO - UP51,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,BASTI RTO - UP51,E2W,HERO MOTOCORP LTD,0,2,8,3,3,3,0,19,0,0,0
Uttar Pradesh,BASTI RTO - UP51,E2W,KLB KOMAKI PVT LTD,2,0,1,0,2,0,0,5,0,0,0
Uttar Pradesh,BASTI RTO - UP51,E2W,LECTRIX E VEHICLES PVT LTD,0,1,0,0,1,3,0,5,0,0,0
Uttar Pradesh,BASTI RTO - UP51,E2W,OBEN ELECTRIC VEHICLES PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,BASTI RTO - UP51,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,13,6,18,14,20,17,0,88,0,0,0
Uttar Pradesh,BASTI RTO - UP51,E2W,PUR ENERGY PVT LTD,0,20,0,0,0,0,0,20,0,0,0
Uttar Pradesh,BASTI RTO - UP51,E2W,REVOLT INTELLICORP PVT LTD,3,0,2,2,2,0,0,9,0,0,0
Uttar Pradesh,BASTI RTO - UP51,E2W,TVS MOTOR COMPANY LTD,28,25,43,22,20,26,0,164,0,0,0
Uttar Pradesh,BASTI RTO - UP51,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,0,1,0,0,0,0,1,0,0,0
