State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,BASTI RTO - UP51,L3G,AKG INTERNATIONAL,3,1,0,0,0,0,0,4,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,BRIGHT AUTOZONE PVT LTD,0,3,3,1,0,0,0,7,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,CHAMPION POLY PLAST,0,1,2,0,0,0,0,3,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,DILLI ELECTRIC AUTO PVT LTD,0,3,0,2,2,1,0,8,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,ELITE AUTO ENGINEERS PVT LTD,1,0,0,2,1,2,0,6,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,ENERGY ELECTRIC VEHICLES,3,2,2,4,3,2,0,16,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,GREENFIT INDUSTRIES LLP,0,2,1,0,0,0,0,3,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,HOTAGE INDIA,0,0,0,0,2,0,0,2,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,INDIAN MOTORS,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,JAISIK BUSINESS LINKS PVT LTD,0,0,1,2,0,1,0,4,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,JMT VEHICLES PVT LTD,0,0,0,4,0,0,0,4,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,J. S. AUTO (P) LTD,5,5,2,9,1,1,0,23,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,KHALSAE-VEHICLES PVT LTD,1,0,0,1,0,0,0,2,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,LECTRIX E VEHICLES PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,MINI METRO EV L.L.P,0,3,1,1,3,4,0,12,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,0,0,1,0,1,1,0,3,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,PARI METRO E RICKSHAW,0,0,0,4,0,1,0,5,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,RIBAND ELECTRIC PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,SAERA ELECTRIC AUTO PVT LTD,1,1,0,1,1,0,0,4,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,SAHNIANAND E VEHICLES PVT LTD,0,1,0,1,0,1,0,3,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,SIRF INDIA VEHICLES PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,SKS TRADE INDIA PVT LTD,1,5,14,4,5,5,1,35,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,SUPERTECH EV LIMITED,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,TWO FRIENDS AUTO ELECTRIC PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,UNIQUE INTERNATIONAL,9,1,7,2,3,6,0,28,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,U.P. TELELINKS LIMITED,0,0,3,0,0,0,0,3,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,2,1,2,0,0,3,0,8,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,VIMAL UNIVERSAL TRADE PVT LTD,0,1,0,1,0,0,0,2,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,YC ELECTRIC VEHICLE,3,3,5,3,2,2,0,18,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3G,ZEOPLUS AXIS INDIA PVT. LTD.,0,0,1,0,2,2,0,5,0,0,0
