State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,BASTI RTO - UP51,L3P,AKG INTERNATIONAL,4,2,0,1,0,1,0,8,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,ATUL AUTO LTD,0,1,0,0,1,0,0,2,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,BAGHWAN RIKSHAW UDYOG,0,0,4,0,0,0,0,4,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,BAXY LTD,1,0,5,1,0,0,0,7,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,BEST WAY AGENCIES PVT LTD,2,8,8,2,5,6,0,31,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,BHM INDUSTRIES,0,1,1,8,0,0,0,10,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,BRIGHT AUTOZONE PVT LTD,0,5,1,0,0,1,0,7,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,CHAMPION POLY PLAST,6,3,10,7,7,7,0,40,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,DELTA AUTOCORP LTD,0,0,0,2,1,1,0,4,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,DILLI ELECTRIC AUTO PVT LTD,4,1,3,4,4,2,0,18,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,ELITE AUTO ENGINEERS PVT LTD,1,3,3,0,0,1,0,8,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,ENERGY ELECTRIC VEHICLES,8,2,12,7,7,5,0,41,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,EXTREME MOTORS,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,GREENFIT INDUSTRIES LLP,0,1,1,1,0,0,0,3,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,HARSH TRADING CO,0,0,0,2,2,1,0,5,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,HOTAGE INDIA,0,0,2,0,1,0,0,3,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,INDIAN MOTORS,9,3,1,3,1,5,1,23,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,JAISIK BUSINESS LINKS PVT LTD,1,1,2,2,1,1,0,8,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,JMT VEHICLES PVT LTD,4,4,0,6,4,8,0,26,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,J. S. AUTO (P) LTD,6,5,4,5,1,3,0,24,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,KHALSAE-VEHICLES PVT LTD,3,1,1,1,3,1,0,10,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,LECTRIX E VEHICLES PVT LTD,1,1,2,1,0,1,0,6,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,LOHIA AUTO INDUSTRIES,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,MAHINDRA LAST MILE MOBILITY LTD,0,0,9,2,1,2,0,14,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,MANITA CITY MOTORS LLP,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,MINI METRO EV L.L.P,3,5,0,0,1,1,0,10,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,M.K. ENTERPRISES,0,4,1,2,0,0,0,7,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,M/S SHRIRAM AUTO TECH PVT LTD,2,0,0,1,0,0,0,3,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,0,0,0,0,1,1,0,2,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,3,2,1,2,1,3,0,12,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,0,0,0,1,0,3,0,4,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,OM INDUSTRIES,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,OM RAJ AUTOTECH LLP,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,SAERA ELECTRIC AUTO PVT LTD,8,6,1,3,6,6,0,30,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,SAHNIANAND E VEHICLES PVT LTD,1,0,0,1,0,1,0,3,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,SAIFIAN SOLAR PVT LTD,0,0,0,0,3,0,0,3,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,SAMRAT ELECTRIC VEHICLE,1,2,1,2,0,1,0,7,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,0,1,1,6,0,1,0,9,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,SHIGAN EVOLTZ LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,SHINE METAL UDYOG PVT LTD (UNIT- II),0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,SKS TRADE INDIA PVT LTD,2,2,2,1,1,1,0,9,0,0,0
Uttar Pradesh,BASTI RTO - UP51,L3P,SUPERTECH EV LIMITED,0,0,0,0,1,0,0,1,0,0,0
