State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Badaun - UP24,E2W,ATHER ENERGY LTD,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Badaun - UP24,E2W,BAJAJ AUTO LTD,0,0,0,1,0,8,6,7,6,10,22,5
Uttar Pradesh,Badaun - UP24,E2W,HERO MOTOCORP LTD,0,1,0,0,0,0,0,2,11,12,15,0
Uttar Pradesh,Badaun - UP24,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,Badaun - UP24,E2W,KLB KOMAKI PVT LTD,0,0,0,0,0,0,0,0,0,0,2,1
Uttar Pradesh,Badaun - UP24,E2W,OKAYA EV PVT LTD,2,0,3,0,2,0,1,1,0,0,4,6
Uttar Pradesh,Badaun - UP24,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,12,16,31,27,17,12,6,7,7,16,1,0
Uttar Pradesh,Badaun - UP24,E2W,REVOLT INTELLICORP PVT LTD,0,0,0,1,0,0,0,0,0,2,2,0
Uttar Pradesh,Badaun - UP24,E2W,SOKUDO ELECTRIC INDIA PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Badaun - UP24,E2W,TVS MOTOR COMPANY LTD,1,2,11,3,2,11,12,10,4,13,15,16
