State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Badaun - UP24,ICE,BAJAJ AUTO LTD,157,146,129,236,259,156,0,"1,083",0,0,0
Uttar Pradesh,Badaun - UP24,ICE,BMW INDIA PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Badaun - UP24,ICE,CLASSIC LEGENDS PVT LTD,2,1,0,2,1,1,0,7,0,0,0
Uttar Pradesh,Badaun - UP24,ICE,HERO MOTOCORP LTD,"1,631","1,658","1,697","3,439","3,059","1,849",6,"13,339",0,0,0
Uttar Pradesh,Badaun - UP24,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,246,196,166,380,342,241,4,"1,575",0,0,0
Uttar Pradesh,Badaun - UP24,ICE,INDIA YAMAHA MOTOR PVT LTD,16,25,8,15,15,7,2,88,0,0,0
Uttar Pradesh,Badaun - UP24,ICE,PIAGGIO VEHICLES PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Badaun - UP24,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),131,124,133,268,186,110,4,956,0,0,0
Uttar Pradesh,Badaun - UP24,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,12,9,7,16,10,6,0,60,0,0,0
Uttar Pradesh,Badaun - UP24,ICE,TVS MOTOR COMPANY LTD,471,466,450,791,868,558,15,"3,619",0,0,0
