State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Badaun - UP24,L3P,3S INDUSTRIES PRIVATE LIMITED,13,5,3,13,5,4,0,43,0,0,0
Uttar Pradesh,Badaun - UP24,L3P,AKG INTERNATIONAL,1,1,1,0,0,0,0,3,0,0,0
Uttar Pradesh,Badaun - UP24,L3P,A K GUPTA & CO.,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Badaun - UP24,L3P,ALLFINE INDUSTRIES PVT LTD,0,1,2,4,0,2,0,9,0,0,0
Uttar Pradesh,Badaun - UP24,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Badaun - UP24,L3P,A N ENTERPRISES,0,0,0,3,3,3,0,9,0,0,0
Uttar Pradesh,Badaun - UP24,L3P,ANJALI AUTO COMPONENTS,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Badaun - UP24,L3P,ATTOLENT AUTO GROUP PVT LTD,0,0,0,3,0,0,0,3,0,0,0
Uttar Pradesh,Badaun - UP24,L3P,ATUT SANGAM,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Badaun - UP24,L3P,AUTO SUPREME INDUSTRIES,0,0,0,3,4,2,0,9,0,0,0
Uttar Pradesh,Badaun - UP24,L3P,AVL ELECTRIC VEHICLES PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,Badaun - UP24,L3P,B24 ROKET EV,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Badaun - UP24,L3P,BAGHWAN RIKSHAW UDYOG,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Badaun - UP24,L3P,BRIGHT AUTOZONE PVT LTD,2,0,1,2,2,1,0,8,0,0,0
Uttar Pradesh,Badaun - UP24,L3P,CHAMPION POLY PLAST,0,0,0,7,0,0,0,7,0,0,0
Uttar Pradesh,Badaun - UP24,L3P,CHEHAK BATTERIES,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Badaun - UP24,L3P,DAKSH INDUSTRIES,18,14,15,18,25,13,0,103,0,0,0
Uttar Pradesh,Badaun - UP24,L3P,DEV MOTORS,0,1,1,1,3,0,0,6,0,0,0
Uttar Pradesh,Badaun - UP24,L3P,DHARMPAL ENTERPRISES,0,0,1,14,29,6,0,50,0,0,0
Uttar Pradesh,Badaun - UP24,L3P,DIAMOND E VEHICLES,0,0,1,0,3,0,0,4,0,0,0
Uttar Pradesh,Badaun - UP24,L3P,DILLI ELECTRIC AUTO PVT LTD,6,1,6,5,5,6,0,29,0,0,0
Uttar Pradesh,Badaun - UP24,L3P,DIVYA ENTERPRISES,2,0,0,2,0,1,0,5,0,0,0
Uttar Pradesh,Badaun - UP24,L3P,E-MOTION AUTOMOTIVE INDUSTRY LLP,1,0,0,0,1,1,0,3,0,0,0
Uttar Pradesh,Badaun - UP24,L3P,ENERGY ELECTRIC VEHICLES,16,7,7,9,7,9,1,56,0,0,0
Uttar Pradesh,Badaun - UP24,L3P,ENTICE IMPEX PVT LTD,2,0,0,0,0,0,0,2,0,0,0
Uttar Pradesh,Badaun - UP24,L3P,GAYATRI ELECTRIC VEHICLES PVT LTD,3,0,0,1,0,0,0,4,0,0,0
Uttar Pradesh,Badaun - UP24,L3P,GRD MOTORS,8,6,8,12,11,8,0,53,0,0,0
Uttar Pradesh,Badaun - UP24,L3P,GREENFIT INDUSTRIES LLP,0,0,0,1,1,0,0,2,0,0,0
Uttar Pradesh,Badaun - UP24,L3P,GREEN IMPEX,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Badaun - UP24,L3P,HANUMAN UDYOG,0,5,1,0,1,2,0,9,0,0,0
Uttar Pradesh,Badaun - UP24,L3P,HOTAGE INDIA,15,6,8,6,7,8,0,50,0,0,0
Uttar Pradesh,Badaun - UP24,L3P,HUNDAL INDUSTRIES,0,0,0,2,2,0,0,4,0,0,0
Uttar Pradesh,Badaun - UP24,L3P,INDIAN MOTORS,12,17,9,27,29,11,0,105,0,0,0
